speed,accel
0.157744613,0.418309559
0.576054172,0.520609283
1.096663456,0.520609283
1.617272739,0.520609283
2.137882022,0.520609283
2.658491306,0.520609283
3.179100589,0.520609283
3.699709873,0.520609283
4.220319156,0.520609283
4.74092844,0.520609283
5.261537723,0.520609283
5.782147007,0.520609283
6.30275629,0.520609283
6.823365574,0.520609283
7.343974857,0.520609283
7.86458414,0.518072792
8.382656932,0.150315344
8.532972276,-0.10243773
8.430534547,0.021000375
8.451534922,-0.006925075
8.444609847,-0.059793108
8.384816739,0.018036879
8.402853618,0.026624894
8.429478512,-0.021145383
8.408333129,-0.081213262
8.327119867,-0.128627358
8.198492509,-0.066835492
8.131657017,-0.150416389
7.981240628,-0.222054382
7.759186246,-0.130333413
7.628852833,-0.107348659
7.521504174,-0.130401524
7.39110265,-0.131109784
7.259992866,-0.133029669
7.126963197,-0.073031574
7.053931624,-0.179621273
6.87431035,-0.280203463
6.594106888,-0.230189695
6.363917193,-0.268414101
6.095503092,-0.329842635
5.765660457,-0.300376215
5.465284242,-0.235914994
5.229369248,-0.092163847
5.137205401,-0.076000287
5.061205114,-0.03628169
5.024923424,0.118044294
5.142967718,0.105532779
5.248500497,0.000131628
5.248632125,-0.065165994
5.183466131,-0.173897356
5.009568775,-0.256008361
4.753560414,-0.432659857
4.320900557,-0.51031062
3.810589937,-0.384126664
3.426463274,-0.317385978
3.109077296,-0.209170169
2.899907127,0.057474314
2.957381442,0.302761869
3.260143311,0.531008752
3.791152063,0.593528829
4.384680892,0.611181008
4.9958619,0.629523191
5.625385091,0.393537775
6.018922866,0.07218856
6.091111426,-0.140447339
5.950664087,-0.370931658
5.579732429,-0.505578998
5.074153431,-0.569437775
4.504715657,-0.418120016
4.08659564,-0.031166061
4.055429579,0.299932804
4.355362383,0.670265469
5.025627852,1.140904455
6.166532307,1.413887094
7.580419401,1.50744294
9.087862342,1.364188595
10.45205094,1.087646607
11.53969754,0.736529018
12.27622656,0.163228486
12.43945505,-0.358296323
12.08115872,-0.606670567
11.47448816,-0.757860129
10.71662803,-0.667702299
10.04892573,-0.336533676
9.712392053,0.240007754
9.952399807,0.966568949
10.91896876,1.529829837
12.44879859,1.994049379
14.44284797,2.360269195
16.80311717,2.28790158
19.09101875,1.898997735
20.99001648,1.271082638
22.26109912,0.519961437
22.78106056,-0.224268056
22.5567925,-0.969938098
21.5868544,-1.396502817
20.19035159,-1.33392186
18.85642972,-1.047248343
17.80918138,-0.419993054
17.38918833,0.477530532
17.86671886,1.451075173
19.31779403,2.312807859
21.63060189,2.776082393
24.40668429,1.77813683
26.18482112,-0.910032398
25.27478872,-1.028147125
24.24664159,-1.028147125
23.21849447,-1.028147125
22.19034734,-1.028147125
21.16220022,-1.028147125
20.13405309,-1.028147125
19.10590597,-1.028147125
18.07775884,-1.028147125
17.04961172,-1.028147125
16.02146459,-1.028147125
14.99331746,-1.028147125
13.96517034,-1.028147125
12.93702321,-1.028147125
11.90887609,-1.028147125
10.88072896,-1.028147125
9.852581838,-1.028147125
8.824434713,-1.028147125
7.796287588,-1.028147125
6.768140463,-1.028147125
5.739993337,-1.028147125
4.711846212,-1.028147125
3.683699087,-1.028147125
2.655551962,-1.028147125
1.627404836,-1.028147125
0.599257711,-0.59572888
0.003528832,-0.003528832
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.317684775
0.317684775,0.532487083
0.850171858,0.23581499
1.085986848,0.160982542
1.24696939,0.133404004
1.380373393,0.100033367
1.48040676,0.007024665
1.487431425,-0.07131929
1.416112136,-0.030276721
1.385835415,-0.095874653
1.289960762,-0.10650865
1.183452112,-0.132498165
1.050953947,-0.080536067
0.970417879,-0.030510825
0.939907054,-0.022685873
0.917221182,-0.00206386
0.915157322,0.142041235
1.057198557,0.164754299
1.221952856,0.238804749
1.460757605,0.269946277
1.730703882,0.367645923
2.098349805,0.432062264
2.530412069,0.434756088
2.965168157,0.42290638
3.388074537,0.514568155
3.902642692,0.461082972
4.363725664,0.449136849
4.812862513,0.376664717
5.18952723,0.371903949
5.561431179,0.329523397
5.890954577,0.233168749
6.124123325,0.133513224
6.257636549,0.151833809
6.409470359,0.043183513
6.452653872,-0.00084001
6.451813862,-0.086835282
6.364978581,-0.08054793
6.28443065,-0.093077378
6.191353272,-0.143588985
6.047764287,-0.179559311
5.868204975,-0.092029345
5.776175631,-0.122738452
5.653437179,-0.089326313
5.564110866,-0.100861987
5.463248879,-0.027710144
5.435538735,0.018535707
5.454074442,0.009490228
5.46356467,0.00847464
5.47203931,0.109028661
5.581067971,0.084810738
5.665878709,0.10786479
5.773743499,0.080136421
5.853879919,0.126423488
5.980303407,0.147103115
6.127406523,0.103541675
6.230948198,0.080013691
6.310961889,0.150944947
6.461906836,0.112732063
6.574638899,0.120163228
6.694802127,0.090315943
6.78511807,0.133966156
6.919084225,0.164691641
7.083775867,0.123506024
7.207281891,0.115731004
7.323012896,0.186733226
7.509746121,0.156722027
7.666468148,0.154916349
7.821384498,0.116626226
7.938010723,0.133574925
8.071585649,0.137849045
8.209434694,0.048773382
8.258208076,0.000299676
8.258507752,0.009903145
8.268410897,-0.069114751
8.199296146,-0.130963965
8.068332181,-0.213054865
7.855277316,-0.240795693
7.614481623,-0.257048715
7.357432908,-0.363923402
6.993509506,-0.395929164
6.597580342,-0.366460384
6.231119958,-0.389942824
5.841177135,-0.390511774
5.45066536,-0.382714563
5.067950797,-0.317673231
4.750277566,-0.220407644
4.529869922,-0.22323497
4.306634952,-0.136941156
4.169693796,-0.013200315
4.156493481,0.060024299
4.21651778,0.124365501
4.340883281,0.185787342
4.526670623,0.268075167
4.79474579,0.365448413
5.160194203,0.321430566
5.481624769,0.35402647
5.835651239,0.383376279
6.219027518,0.355892837
6.574920355,0.291065991
6.865986345,0.223803794
7.089790139,0.165053465
7.254843605,0.134297994
7.389141599,-0.038743722
7.350397877,-0.105541593
7.244856285,-0.167920667
7.076935617,-0.248324644
6.828610973,-0.348288058
6.480322915,-0.412406067
6.067916848,-0.445555656
5.622361192,-0.416103836
5.206257356,-0.513378993
4.692878363,-0.473941549
4.218936814,-0.427319249
3.791617565,-0.379931065
3.4116865,-0.358462403
3.053224097,-0.299486081
2.753738017,-0.223775548
2.529962469,-0.096344016
2.433618453,-0.12023472
2.313383733,-0.021560914
2.291822818,0.052604171
2.34442699,0.11168381
2.4561108,0.117318141
2.57342894,0.143369598
2.716798538,0.168480035
2.885278573,0.233330963
3.118609536,0.136420019
3.255029555,0.162353774
3.417383329,0.159313936
3.576697266,0.149789784
3.72648705,0.092564506
3.819051556,0.065389503
3.884441059,0.05142934
3.935870399,0.086567392
4.02243779,-0.026598189
3.995839602,-0.005843426
3.989996175,-0.006639939
3.983356236,-0.006787422
3.976568814,-0.049306009
3.927262805,-0.064412597
3.862850208,-0.061407078
3.80144313,-0.018798411
3.782644719,-0.123634798
3.659009922,-0.10284195
3.556167972,-0.106465775
3.449702197,-0.11634231
3.333359886,-0.166637481
3.166722406,-0.201518474
2.965203932,-0.398324338
2.566879594,-0.499639893
2.067239701,-0.499639893
1.567599809,-0.499639893
1.067959916,-0.499639893
0.568320024,-0.466804684
0.101515339,-0.101515339
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
