time_stamp,charging,TOU,energy_per_time_slot (kWh),cost_per_time_slot (p)
2019-09-26 02:30:00,30.0,4.83,1.4369538247311828,6.9404869734516135
2019-09-26 03:30:00,8.183333333333332,4.935,0.3911707569892471,1.9304276857419342
2019-09-27 00:00:00,30.0,4.41,1.4369538247311828,6.336966367064517
2019-09-27 01:30:00,0.28333333333333144,4.41,0.01277292365591449,0.0563285933225829
2019-09-27 02:30:00,14.600000000000001,4.41,0.6993175129032254,3.083990231903224
2019-09-28 01:30:00,23.6,3.486,1.1304036795698922,3.9405872269806443
2019-09-29 03:00:00,28.333333333333325,4.2,1.3563247505376346,5.6965639522580656
2019-09-29 03:30:00,30.0,3.969,1.436953789247311,5.703269589522577
2019-09-29 04:30:00,30.0,3.36,1.4369537623655912,4.828164641548386
2019-10-01 00:00:00,17.7,3.528,0.8478027623655918,2.991048145625808
2019-10-04 02:00:00,3.799999999999997,3.15,0.18121584623655917,0.5708299156451614
2019-10-04 02:30:00,30.0,2.8560000000000003,1.4369538193548388,4.10394010807742
2019-10-08 01:30:00,30.0,3.78,1.4369538247311828,5.431685457483871
2019-10-08 02:00:00,30.0,4.1160000000000005,1.4369537870967737,5.914501787690321
2019-10-08 02:30:00,30.0,3.36,1.436953761290323,4.828164637935485
2019-10-08 03:00:00,9.899999999999999,4.368,0.47339643010752774,2.0677956067096814
2019-10-08 03:30:00,30.0,4.2,1.4369537387096771,6.035205702580644
2019-10-09 00:00:00,17.499999999999996,3.696,0.837424762365591,3.0951219217032246
2019-10-09 01:00:00,30.0,3.15,1.4369538010752692,4.526404473387098
2019-10-09 01:30:00,30.0,3.108,1.4369537709677427,4.466052320167744
2019-10-09 02:00:00,30.0,3.444,1.4369537505376342,4.948868716851612
2019-10-09 02:30:00,30.0,3.15,1.4369537344086023,4.526404263387097
2019-10-10 01:00:00,11.049999999999997,3.57,0.5284796903225802,1.8866724944516113
2019-10-10 01:30:00,30.0,3.36,1.4369538086021514,4.828164796903229
2019-10-10 02:30:00,30.0,3.444,1.4369537774193548,4.948868809432258
2019-10-11 00:00:00,30.0,1.05,1.4369538247311828,1.508801515967742
2019-10-11 01:00:00,14.800000000000004,1.4069999999999998,0.7088972053763437,0.9974183679645154
2019-10-11 01:30:00,30.0,0.336,1.4369537741935492,0.48281646812903256
2019-10-11 22:00:00,30.0,5.712000000000001,1.4369538247311828,8.207880246864518
2019-10-11 22:30:00,30.0,5.46,1.4369537870967737,7.845767677548384
2019-10-11 23:00:00,30.0,4.2,1.4369537623655921,6.035205801935487
2019-10-11 23:30:00,30.0,4.1160000000000005,1.4369537430107528,5.9145016062322595
2019-10-12 04:30:00,9.23333333333333,6.72,0.44146411935483926,2.9666388820645198
2019-10-13 04:00:00,21.450000000000003,5.46,1.0274219892473113,5.609724061290319
2019-10-13 05:30:00,30.0,5.46,1.4369537967741943,7.845767730387101
2019-10-13 06:00:00,30.0,3.78,1.4369537677419362,5.4316852420645185
2019-10-13 07:00:00,30.0,4.788,1.4369537483870958,6.880134547277415
2019-10-13 23:30:00,30.0,5.25,1.4369538258064514,7.54400758548387
2019-10-14 00:00:00,30.0,5.25,1.4369537860215054,7.544007376612903
2019-10-14 02:00:00,4.733333333333334,5.67,0.22671937311827908,1.2854988455806424
2019-10-14 03:00:00,30.0,5.67,1.4369537580645164,8.147527808225808
2019-10-14 20:30:00,30.0,5.837999999999999,1.4369538247311828,8.388936428780644
2019-10-14 21:30:00,30.0,4.2,1.4369537870967737,6.03520590580645
2019-10-14 22:00:00,1.8833333333333258,6.72,0.08941045698924799,0.6008382709677464
2019-10-14 23:00:00,30.0,5.355,1.436953760215054,7.694887385951614
2019-10-14 23:30:00,30.0,4.41,1.4369537430107537,6.336966006677424
2019-10-15 03:30:00,30.0,6.027,1.4369537258064509,8.660520105435479
2019-10-16 02:30:00,30.0,3.99,1.4369538258064514,5.733445764967741
2019-10-16 03:00:00,10.800000000000004,4.998,0.5173033666666661,2.5854822265999973
2019-10-16 03:30:00,30.0,4.2,1.4369537763440856,6.03520586064516
2019-10-16 23:30:00,30.0,6.615,1.4369538247311828,9.505449550596774
2019-10-17 00:00:00,1.3666666666666671,6.615,0.06546122903225775,0.433026030048385
2019-10-17 22:00:00,30.0,6.3,1.4369538258064514,9.052809102580643
2019-10-17 22:30:00,13.45,6.3,0.6442342849462367,4.058675995161291
2019-10-18 03:00:00,30.0,6.3,1.4369537741935483,9.052808777419354
2019-10-18 03:30:00,30.0,5.859,1.4369537526881706,8.41911203699999
2019-10-18 04:30:00,30.0,6.047999999999999,1.4369537365591407,8.690696198709682
2019-10-19 03:30:00,8.11666666666666,5.67,0.3879775376344085,2.1998326383870963
2019-10-19 04:00:00,30.0,5.544,1.4369538129032262,7.966471938735485
2019-10-19 04:30:00,30.0,5.544,1.4369537795698932,7.966471753935488
2019-10-19 23:30:00,7.7166666666666615,4.83,0.36881815268817186,1.78139167748387
2019-10-20 01:30:00,30.0,4.41,1.4369538139784943,6.33696631964516
2019-10-20 23:00:00,30.0,4.83,1.4369538247311828,6.9404869734516135
2019-10-20 23:30:00,30.0,5.04,1.4369537870967737,7.2422470869677396
2019-10-21 00:00:00,30.0,4.5360000000000005,1.436953761290323,6.518022261212906
2019-10-21 01:30:00,20.766666666666673,5.04,0.994691316129032,5.0132442332903215
2019-10-21 02:30:00,30.0,4.41,1.436953733333333,6.336965963999999
2019-10-21 03:30:00,30.0,3.57,1.4369537204301088,5.129924781935488
2019-10-21 23:00:00,30.0,6.405,1.4369538258064514,9.203689254290321
