SOC,Current,Voltage,Power,Energy_kWh,Charge_level
0,7.440009852,304.6762433,2266.794252,0.62966507,0
0.003444449,7.440009841,304.7903588,2267.643269,1.259565978,0.647556412
0.006888898,7.44000983,304.9015044,2268.47019,1.889696586,1.295112824
0.010333347,7.440009819,305.009947,2269.277,2.520051309,1.942669236
0.013777796,7.440009808,305.1159278,2270.065496,3.150625058,2.590225648
0.017222245,7.440009798,305.2196655,2270.837302,3.781413197,3.23778206
0.020666694,7.440009788,305.3213579,2271.593891,4.4124115,3.885338472
0.024111143,7.440009778,305.4211838,2272.336594,5.043616109,4.532894884
0.027555592,7.440009768,305.5193054,2273.066616,5.675023503,5.180451296
0.031000041,7.440009758,305.6158692,2273.785049,6.306630461,5.828007708
0.03444449,7.440009749,305.7110081,2274.492881,6.938434039,6.47556412
0.037888939,7.44000974,305.8048422,2275.191005,7.57043154,7.123120532
0.041333388,7.44000973,305.8974803,2275.88023,8.202620493,7.770676944
0.044777837,7.440009721,305.9890208,2276.561289,8.834998629,8.418233356
0.048222286,7.440009712,306.0795529,2277.234846,9.467563864,9.065789768
0.051666735,7.440009703,306.1691574,2277.901502,10.10031428,9.71334618
0.055111184,7.440009694,306.2579072,2278.561798,10.73324811,10.36090259
0.058555632,7.440009685,306.3458686,2279.21623,11.36636373,11.00845882
0.062000081,7.440009677,306.4331015,2279.865241,11.99965963,11.65601523
0.06544453,7.440009668,306.5196602,2280.509235,12.63313442,12.30357164
0.068888979,7.440009659,306.6055938,2281.148579,13.2667868,12.95112805
0.072333428,7.440009651,306.6909468,2281.783604,13.90061558,13.59868446
0.075777877,7.440009642,306.7757596,2282.414609,14.53461964,14.24624088
0.079222326,7.440009634,306.8600687,2283.041867,15.16879794,14.89379729
0.082666775,7.440009626,306.9439071,2283.665624,15.8031495,15.5413537
0.086111224,7.440009617,307.027305,2284.286102,16.43767342,16.18891011
0.089555673,7.440009609,307.1102894,2284.903504,17.07236883,16.83646652
0.093000122,7.440009601,307.1928851,2285.518014,17.70723495,17.48402294
0.09644457,7.440009592,307.2751143,2286.129798,18.342271,18.13157916
0.099889019,7.440009584,307.3569973,2286.739006,18.97747628,18.77913557
0.103333468,7.440009576,307.4385526,2287.345775,19.61285011,19.42669198
0.106777917,7.440009568,307.5197967,2287.95023,20.24839184,20.0742484
0.110222366,7.44000956,307.6007448,2288.552482,20.88410086,20.72180481
0.113666815,7.440009552,307.6814106,2289.152633,21.5199766,21.36936122
0.117111264,7.440009544,307.7618065,2289.750778,22.15601848,22.01691763
0.120555713,7.440009536,307.841944,2290.346999,22.79222598,22.66447404
0.124000161,7.440009528,307.9218333,2290.941373,23.42859858,23.31203027
0.12744461,7.44000952,308.0014837,2291.533971,24.0651358,23.95958668
0.130889059,7.440009512,308.0809037,2292.124854,24.70183714,24.60714309
0.134333508,7.440009504,308.1601011,2292.714081,25.33870217,25.2546995
0.137777957,7.440009496,308.2390829,2293.301704,25.97573042,25.90225592
0.141222406,7.440009488,308.3178555,2293.88777,26.61292146,26.54981233
0.144666854,7.44000948,308.3964248,2294.472324,27.25027489,27.19736855
0.148111303,7.440009473,308.474796,2295.055404,27.88779028,27.84492496
0.151555752,7.440009465,308.5529741,2295.637048,28.52546724,28.49248138
0.155000201,7.440009457,308.6309635,2296.217287,29.16330537,29.14003779
0.15844465,7.440009449,308.7087682,2296.796152,29.8013043,29.7875942
0.161889099,7.440009441,308.7863919,2297.373671,30.43946366,30.43515061
0.165333547,7.440009434,308.8638381,2297.949869,31.07778306,31.08270684
0.168777996,7.440009426,308.9411098,2298.524769,31.71626217,31.73026325
0.172222445,7.440009418,309.0182099,2299.098392,32.35490061,32.37781966
0.175666894,7.44000941,309.095141,2299.670758,32.99369804,33.02537607
0.179111343,7.440009403,309.1719056,2300.241885,33.63265412,33.67293248
0.182555791,7.440009395,309.2485059,2300.811789,34.27176851,34.32048871
0.18600024,7.440009388,309.3249439,2301.380486,34.91104086,34.96804512
0.189444689,7.44000938,309.4012214,2301.94799,35.55047086,35.61560153
0.192889138,7.440009372,309.4773404,2302.514313,36.19005817,36.26315794
0.196333587,7.440009365,309.5533023,2303.079468,36.82980247,36.91071436
0.199778035,7.440009357,309.6291087,2303.643466,37.46970343,37.55827058
0.203222484,7.44000935,309.704761,2304.206318,38.10976074,38.20582699
0.206666933,7.440009342,309.7802605,2304.768032,38.74997408,38.8533834
0.210111382,7.440009334,309.8556085,2305.328619,39.39034314,39.50093982
0.21355583,7.440009327,309.930806,2305.888087,40.03086761,40.14849604
0.217000279,7.440009319,310.0058541,2306.446444,40.67154718,40.79605245
0.220444728,7.440009312,310.0807539,2307.003696,41.31238154,41.44360886
0.223889177,7.440009304,310.1555062,2307.559852,41.95337039,42.09116528
0.227333626,7.440009297,310.2301121,2308.114918,42.59451342,42.73872169
0.230778074,7.44000929,310.3045723,2308.6689,43.23581034,43.38627791
0.234222523,7.440009282,310.3788876,2309.221805,43.87726084,44.03383432
0.237666972,7.440009275,310.4530588,2309.773637,44.51886463,44.68139074
0.24111142,7.440009267,310.5270867,2310.324403,45.1606214,45.32894696
0.244555869,7.44000926,310.6009718,2310.874107,45.80253088,45.97650337
0.248000318,7.440009253,310.674715,2311.422754,46.44459275,46.62405978
0.251444767,7.440009245,310.7483168,2311.97035,47.08680674,47.2716162
0.254889215,7.440009238,310.8217778,2312.516898,47.72917255,47.91917242
0.258333664,7.44000923,310.8950986,2313.062404,48.37168988,48.56672883
0.261778113,7.440009223,310.9682799,2313.606871,49.01435846,49.21428524
