SOC,Current,Voltage,Power,Energy_Wh,Charge_level_based_on_SOC,Charge_level
0,8.530009846,304.7407713,2599.441779,0,0,0
0.003949079,8.530009833,304.871591,2600.557669,0.722067161,0.742426783,0.722067161
0.007898157,8.53000982,304.9989775,2601.644273,1.444444291,1.484853565,1.444444291
0.011847236,8.530009808,305.1232365,2602.7042,2.167123256,2.227280345,2.167123256
0.015796314,8.530009796,305.2446452,2603.739814,2.890096645,2.969707125,2.890096645
0.019745393,8.530009784,305.3634542,2604.753252,3.613357704,3.712133903,3.613357704
0.023694472,8.530009772,305.4798903,2605.746449,4.336900274,4.454560681,4.336900274
0.02764355,8.530009761,305.594159,2606.721159,5.060718732,5.196987457,5.060718732
0.031592629,8.530009749,305.7064461,2607.678966,5.784807943,5.939414233,5.784807943
0.035541707,8.530009738,305.81692,2608.621306,6.509163211,6.681841007,6.509163211
0.039490786,8.530009727,305.9257331,2609.549479,7.233780241,7.424267781,7.233780241
0.043439865,8.530009717,306.0330232,2610.464662,7.958655096,8.166694553,7.958655096
0.047388943,8.530009706,306.1389153,2611.367919,8.683784169,8.909121325,8.683784169
0.051338022,8.530009696,306.2435224,2612.260215,9.409164146,9.651548096,9.409164146
0.0552871,8.530009685,306.3469469,2613.142424,10.13479198,10.39397487,10.13479198
0.059236179,8.530009675,306.4492815,2614.015336,10.86066488,11.13640163,10.86066488
0.063185257,8.530009665,306.5506101,2614.879667,11.58678025,11.8788284,11.58678025
0.067134336,8.530009655,306.6510089,2615.736066,12.31313571,12.62125517,12.31313571
0.071083415,8.530009645,306.7505466,2616.585121,13.03972907,13.36368194,13.03972907
0.075032493,8.530009635,306.8492856,2617.427363,13.76655827,14.1061087,13.76655827
0.078981572,8.530009625,306.9472825,2618.263274,14.49362142,14.84853547,14.49362142
0.08293065,8.530009616,307.0445884,2619.093291,15.22091678,15.59096223,15.22091678
0.086879729,8.530009606,307.1412498,2619.917811,15.94844269,16.33338899,15.94844269
0.090828807,8.530009596,307.2373087,2620.737191,16.67619764,17.07581575,16.67619764
0.094777886,8.530009587,307.3328032,2621.551757,17.40418019,17.81824252,17.40418019
0.098726964,8.530009577,307.4277679,2622.361804,18.13238901,18.56066928,18.13238901
0.102676043,8.530009568,307.522234,2623.167598,18.86082285,19.30309604,18.86082285
0.106625121,8.530009558,307.6162301,2623.969383,19.58948051,20.04552279,19.58948051
0.1105742,8.530009549,307.7097818,2624.767377,20.3183609,20.78794955,20.3183609
0.114523278,8.53000954,307.8029126,2625.561781,21.04746295,21.53037631,21.04746295
0.118472357,8.53000953,307.8956437,2626.352775,21.77678566,22.27280306,21.77678566
0.122421435,8.530009521,307.9879944,2627.140524,22.5063281,23.01522982,22.5063281
0.126370514,8.530009512,308.0799821,2627.925177,23.23608936,23.75765658,23.23608936
0.130319592,8.530009503,308.1716227,2628.70687,23.96606857,24.50008333,23.96606857
0.134268671,8.530009494,308.2629307,2629.485725,24.69626493,25.24251008,24.69626493
0.138217749,8.530009485,308.3539192,2630.261856,25.42667763,25.98493683,25.42667763
0.142166828,8.530009476,308.4446002,2631.035362,26.15730592,26.72736359,26.15730592
0.146115906,8.530009467,308.5349845,2631.806339,26.88814908,27.46979034,26.88814908
0.150064985,8.530009457,308.625082,2632.574868,27.61920639,28.21221709,27.61920639
0.154014063,8.530009449,308.7149018,2633.341029,28.35047719,28.95464384,28.35047719
0.157963141,8.53000944,308.804452,2634.10489,29.08196081,29.69707058,29.08196081
0.16191222,8.530009431,308.8937401,2634.866516,29.81365661,30.43949733,29.81365661
0.165861298,8.530009422,308.9827731,2635.625965,30.54556398,31.18192408,30.54556398
0.169810377,8.530009413,309.071557,2636.383291,31.2776823,31.92435082,31.2776823
0.173759455,8.530009404,309.1600977,2637.138541,32.01001099,32.66677757,32.01001099
0.177708534,8.530009395,309.2484004,2637.891761,32.74254948,33.40920431,32.74254948
0.181657612,8.530009386,309.3364699,2638.642992,33.47529719,34.15163106,33.47529719
0.18560669,8.530009378,309.4243105,2639.39227,34.20825358,34.8940578,34.20825358
0.189555769,8.530009369,309.5119263,2640.139631,34.9414181,35.63648454,34.9414181
0.193504847,8.53000936,309.5993211,2640.885106,35.67479021,36.37891128,35.67479021
0.197453926,8.530009351,309.6864981,2641.628725,36.40836941,37.12133802,36.40836941
0.201403004,8.530009343,309.7734606,2642.370513,37.14215517,37.86376476,37.14215517
0.205352082,8.530009334,309.8602115,2643.110496,37.87614698,38.6061915,37.87614698
0.209301161,8.530009325,309.9467534,2643.848697,38.61034434,39.34861824,38.61034434
0.213250239,8.530009317,310.0330888,2644.585136,39.34474675,40.09104498,39.34474675
0.217199318,8.530009308,310.1192201,2645.319834,40.07935374,40.83347172,40.07935374
0.221148396,8.530009299,310.2051494,2646.052809,40.8141648,41.57589845,40.8141648
0.225097474,8.530009291,310.2908786,2646.784077,41.54917947,42.31832519,41.54917947
0.229046553,8.530009282,310.3764097,2647.513655,42.28439727,43.06075192,42.28439727
0.232995631,8.530009274,310.4617443,2648.241558,43.01981773,43.80317866,43.01981773
0.23694471,8.530009265,310.5468842,2648.967799,43.75544038,44.54560539,43.75544038
0.240893788,8.530009257,310.6318307,2649.692392,44.49126477,45.28803212,44.49126477
0.244842866,8.530009248,310.7165855,2650.415348,45.22729044,46.03045885,45.22729044
0.248791945,8.53000924,310.8011497,2651.136679,45.96351692,46.77288558,45.96351692
0.252741023,8.530009231,310.8855248,2651.856396,46.69994378,47.51531231,46.69994378
0.256690101,8.530009223,310.9697119,2652.57451,47.43657055,48.25773904,47.43657055
