,index,Power,time_stamp
105,12460,3518.87636344086,2019-10-01 10:30:00
106,12461,3518.8804666666665,2019-10-01 10:30:00
107,12462,3518.884568817204,2019-10-01 10:30:00
108,12463,3518.8886709677417,2019-10-01 10:30:00
109,12464,3518.8927720430106,2019-10-01 10:30:00
110,12465,3518.8968720430107,2019-10-01 10:30:00
111,12466,3518.9009731182796,2019-10-01 10:30:00
112,12467,3518.9050720430105,2019-10-01 10:30:00
113,12468,3518.909172043011,2019-10-01 10:30:00
114,12469,3518.9132698924727,2019-10-01 10:30:00
115,12470,3518.9173688172045,2019-10-01 10:30:00
116,12471,3518.921466666666,2019-10-01 10:30:00
117,12472,3518.92556344086,2019-10-01 10:30:00
118,12473,3518.929660215054,2019-10-01 10:30:00
119,12474,3518.933755913978,2019-10-01 10:30:00
120,12475,3518.9378516129027,2019-10-01 10:30:00
121,12476,3518.941947311828,2019-10-01 10:30:00
122,12477,3518.9460419354837,2019-10-01 10:30:00
123,12478,3518.950135483871,2019-10-01 10:30:00
124,12479,3518.9542290322574,2019-10-01 10:30:00
125,12480,3518.9583225806446,2019-10-01 10:30:00
126,12481,3518.962415053763,2019-10-01 10:30:00
127,12482,3518.966506451613,2019-10-01 10:30:00
128,12483,3518.970598924731,2019-10-01 10:30:00
129,12484,3518.9746892473113,2019-10-01 10:30:00
130,12485,3518.9787806451614,2019-10-01 10:30:00
131,12486,3518.982869892473,2019-10-01 10:30:00
132,12487,3518.986960215054,2019-10-01 10:30:00
133,12488,3518.9910483870963,2019-10-01 10:30:00
134,12489,3518.9951376344084,2019-10-01 10:30:00
135,12490,3518.9992258064517,2019-10-01 10:30:00
136,12491,3519.0033129032254,2019-10-01 10:30:00
137,12492,3519.0074,2019-10-01 10:30:00
138,12493,3519.0114860215053,2019-10-01 10:30:00
139,12494,3519.0155720430107,2019-10-01 10:30:00
140,12495,3519.019658064516,2019-10-01 10:30:00
141,12496,3519.0237430107522,2019-10-01 10:30:00
142,12497,3519.02782688172,2019-10-01 10:30:00
143,12498,3519.0319118279567,2019-10-01 10:30:00
144,12499,3519.0359946236554,2019-10-01 10:30:00
145,12500,3519.040077419355,2019-10-01 10:30:00
146,12501,3519.0441602150536,2019-10-01 10:30:00
147,12502,3519.0482419354835,2019-10-01 10:30:00
148,12503,3519.052323655914,2019-10-01 10:30:00
149,12504,3519.056404301075,2019-10-01 10:30:00
150,12505,3519.0604849462366,2019-10-01 10:30:00
151,12506,3519.0645645161285,2019-10-01 10:30:00
152,12507,3519.0686440860213,2019-10-01 10:30:00
153,12508,3519.0727236559137,2019-10-01 10:30:00
154,12509,3519.0768021505373,2019-10-01 10:30:00
155,12510,3519.080879569892,2019-10-01 10:30:00
156,12511,3519.084956989247,2019-10-01 10:30:00
157,12512,3519.089034408602,2019-10-01 10:30:00
158,12513,3519.093110752688,2019-10-01 10:30:00
159,12514,3519.097186021505,2019-10-01 10:30:00
160,12515,3519.101262365591,2019-10-01 10:30:00
161,12516,3519.1053365591392,2019-10-01 10:30:00
162,12517,3519.1094107526883,2019-10-01 10:30:00
163,12518,3519.1134849462364,2019-10-01 10:30:00
164,12519,3519.117558064516,2019-10-01 10:30:00
165,12520,3519.121631182796,2019-10-01 10:30:00
166,12521,3519.125704301075,2019-10-01 10:30:00
167,12522,3519.129775268817,2019-10-01 10:30:00
168,12523,3519.133847311828,2019-10-01 10:30:00
169,12524,3519.13791827957,2019-10-01 10:30:00
170,12525,3519.1419881720426,2019-10-01 10:30:00
171,12526,3519.1460580645157,2019-10-01 10:30:00
172,12527,3519.1501279569893,2019-10-01 10:30:00
173,12528,3519.1541967741937,2019-10-01 10:30:00
174,12529,3519.1582645161284,2019-10-01 10:30:00
175,12530,3519.1623333333328,2019-10-01 10:30:00
176,12531,3519.1663999999996,2019-10-01 10:30:00
177,12532,3519.170466666666,2019-10-01 10:30:00
178,12533,3519.1745333333333,2019-10-01 10:30:00
179,12534,3519.178598924731,2019-10-01 10:30:00
180,12535,3519.182664516129,2019-10-01 10:30:00
181,12536,3519.1867301075267,2019-10-01 10:30:00
182,12537,3519.190793548387,2019-10-01 10:30:00
183,12538,3519.1948580645158,2019-10-01 10:30:00
184,12539,3519.198921505376,2019-10-01 10:30:00
185,12540,3519.2029838709677,2019-10-01 10:30:00
186,12541,3519.207046236559,2019-10-01 10:30:00
187,12542,3519.21110860215,2019-10-01 10:30:00
188,12543,3519.2151698924727,2019-10-01 10:30:00
189,12544,3519.2192311827953,2019-10-01 10:30:00
