,index,Power,time_stamp
104,19300,3540.352124731183,2019-10-04 02:30:00
105,19301,3540.354967741935,2019-10-04 02:30:00
106,19302,3540.3578107526882,2019-10-04 02:30:00
107,19303,3540.3606537634405,2019-10-04 02:30:00
108,19304,3540.363496774193,2019-10-04 02:30:00
109,19305,3540.3663408602147,2019-10-04 02:30:00
110,19306,3540.3691838709674,2019-10-04 02:30:00
111,19307,3540.3720279569893,2019-10-04 02:30:00
112,19308,3540.3748720430103,2019-10-04 02:30:00
113,19309,3540.3777161290323,2019-10-04 02:30:00
114,19310,3540.3805602150537,2019-10-04 02:30:00
115,19311,3540.383404301075,2019-10-04 02:30:00
116,19312,3540.386248387096,2019-10-04 02:30:00
117,19313,3540.3890924731177,2019-10-04 02:30:00
118,19314,3540.391937634409,2019-10-04 02:30:00
119,19315,3540.39478172043,2019-10-04 02:30:00
120,19316,3540.3976268817205,2019-10-04 02:30:00
121,19317,3540.4004720430107,2019-10-04 02:30:00
122,19318,3540.403317204301,2019-10-04 02:30:00
123,19319,3540.406162365591,2019-10-04 02:30:00
124,19320,3540.4090075268814,2019-10-04 02:30:00
125,19321,3540.411852688172,2019-10-04 02:30:00
126,19322,3540.414698924731,2019-10-04 02:30:00
127,19323,3540.4175440860213,2019-10-04 02:30:00
128,19324,3540.4203903225807,2019-10-04 02:30:00
129,19325,3540.423235483871,2019-10-04 02:30:00
130,19326,3540.42608172043,2019-10-04 02:30:00
131,19327,3540.4289279569894,2019-10-04 02:30:00
132,19328,3540.431774193548,2019-10-04 02:30:00
133,19329,3540.434621505376,2019-10-04 02:30:00
134,19330,3540.437467741935,2019-10-04 02:30:00
135,19331,3540.4403139784945,2019-10-04 02:30:00
136,19332,3540.443161290322,2019-10-04 02:30:00
137,19333,3540.4460075268817,2019-10-04 02:30:00
138,19334,3540.4488548387094,2019-10-04 02:30:00
139,19335,3540.451702150537,2019-10-04 02:30:00
140,19336,3540.4545494623653,2019-10-04 02:30:00
141,19337,3540.4573967741935,2019-10-04 02:30:00
142,19338,3540.4602440860212,2019-10-04 02:30:00
143,19339,3540.463092473118,2019-10-04 02:30:00
144,19340,3540.465939784946,2019-10-04 02:30:00
145,19341,3540.468788172043,2019-10-04 02:30:00
146,19342,3540.4716365591394,2019-10-04 02:30:00
147,19343,3540.4744838709676,2019-10-04 02:30:00
148,19344,3540.4773322580645,2019-10-04 02:30:00
149,19345,3540.4801806451615,2019-10-04 02:30:00
150,19346,3540.483029032258,2019-10-04 02:30:00
151,19347,3540.4858784946236,2019-10-04 02:30:00
152,19348,3540.48872688172,2019-10-04 02:30:00
