time_stamp,Power
2019-10-12 19:00:00,3497.77352915
2019-10-12 19:01:00,3498.224635333334
2019-10-12 19:02:00,3498.6703900333328
2019-10-12 19:03:00,3499.1108955833333
2019-10-12 19:04:00,3499.54625125
2019-10-12 19:05:00,3499.9765543833346
2019-10-12 19:06:00,3500.401899900001
2019-10-12 19:07:00,3500.82238055
2019-10-12 19:08:00,3501.238086183333
2019-10-12 19:09:00,3501.6491054
2019-10-12 19:10:00,3502.055524549999
2019-10-12 19:11:00,3502.4574274500014
2019-10-12 19:12:00,3502.854896633333
2019-10-12 19:13:00,3503.2480122833326
2019-10-12 19:14:00,3503.6368534333333
2019-10-12 19:15:00,3504.021496150001
2019-10-12 19:16:00,3504.4020160500004
2019-10-12 19:17:00,3504.7784861500013
2019-10-12 19:18:00,3505.150978233336
2019-10-12 19:19:00,3505.5195626500004
2019-10-12 19:20:00,3505.884307900001
2019-10-12 19:21:00,3506.2452812166675
2019-10-12 19:22:00,3506.602547983334
2019-10-12 19:23:00,3506.9561728333338
2019-10-12 19:24:00,3507.3062184833334
2019-10-12 19:25:00,3507.6527466000002
2019-10-12 19:26:00,3507.9958172666675
2019-10-12 19:27:00,3508.335489666666
2019-10-12 19:28:00,3508.6718215833334
2019-10-12 19:29:00,3509.004869566667
2019-10-12 19:30:00,3509.3346889833333
2019-10-12 19:31:00,3509.6613343500003
2019-10-12 19:32:00,3509.9848586833323
2019-10-12 19:33:00,3510.3053142000003
2019-10-12 19:34:00,3510.622752099999
2019-10-12 19:35:00,3510.9372223166656
2019-10-12 19:36:00,3511.248774033333
2019-10-12 19:37:00,3511.557455299999
2019-10-12 19:38:00,3511.863313583333
2019-10-12 19:39:00,3512.16639495
2019-10-12 19:40:00,3512.466744916667
2019-10-12 19:41:00,3512.7644079833326
2019-10-12 19:42:00,3513.059427816667
2019-10-12 19:43:00,3513.351847416667
2019-10-12 19:44:00,3513.641708883333
2019-10-12 19:45:00,3513.9290534833326
2019-10-12 19:46:00,3514.2139217666677
2019-10-12 19:47:00,3514.4963536833334
2019-10-12 19:48:00,3514.7763883333337
2019-10-12 19:49:00,3515.054063816666
2019-10-12 19:50:00,3515.329418249999
2019-10-12 19:51:00,3515.602488416667
2019-10-12 19:52:00,3515.873310983334
2019-10-12 19:53:00,3516.1419214666666
2019-10-12 19:54:00,3516.408355066667
2019-10-12 19:55:00,3516.672646616666
2019-10-12 19:56:00,3516.9348299166672
2019-10-12 19:57:00,3517.194938166667
2019-10-12 19:58:00,3517.4530044166663
2019-10-12 19:59:00,3517.7090610500004
2019-10-12 20:00:00,3517.963139566667
2019-10-12 20:01:00,3518.215271716667
2019-10-12 20:02:00,3518.4654877333337
2019-10-12 20:03:00,3518.7138181333335
2019-10-12 20:04:00,3518.960292583333
2019-10-12 20:05:00,3519.204940566667
2019-10-12 20:06:00,3519.447790866667
2019-10-12 20:07:00,3519.6888719
2019-10-12 20:08:00,3519.928211683334
2019-10-12 20:09:00,3520.1658377499994
2019-10-12 20:10:00,3520.401777383333
2019-10-12 20:11:00,3520.6360571833347
2019-10-12 20:12:00,3520.868703666667
2019-10-12 20:13:00,3521.099742600001
2019-10-12 20:14:00,3521.329199983333
2019-10-12 20:15:00,3521.5571006500004
2019-10-12 20:16:00,3521.783469866666
2019-10-12 20:17:00,3522.0083319499995
2019-10-12 20:18:00,3522.231711283334
2019-10-12 20:19:00,3522.4536317000006
2019-10-12 20:20:00,3522.674116866667
2019-10-12 20:21:00,3522.8931900500006
2019-10-12 20:22:00,3523.110874133333
2019-10-12 20:23:00,3523.3271920333323
2019-10-12 20:24:00,3523.542165916666
2019-10-12 20:25:00,3523.7558182
2019-10-12 20:26:00,3523.9681703833335
2019-10-12 20:27:00,3524.179244400002
2019-10-12 20:28:00,3524.389061549999
2019-10-12 20:29:00,3524.597642616666
2019-10-12 20:30:00,3524.805008966666
2019-10-12 20:31:00,3525.0111808499996
2019-10-12 20:32:00,3525.2161788333333
2019-10-12 20:33:00,3525.4200232000007
2019-10-12 20:34:00,3525.622733833333
2019-10-12 20:35:00,3525.8243304333346
2019-10-12 20:36:00,3526.0248326666665
2019-10-12 20:37:00,3526.224259899999
2019-10-12 20:38:00,3526.4226313500008
2019-10-12 20:39:00,3526.6199660666666
2019-10-12 20:40:00,3526.816282783334
2019-10-12 20:41:00,3527.0116002666673
2019-10-12 20:42:00,3527.2059369166673
2019-10-12 20:43:00,3527.3993112833327
2019-10-12 20:44:00,3527.5917414833334
2019-10-12 20:45:00,3527.783245599999
2019-10-12 20:46:00,3527.973841416667
2019-10-12 20:47:00,3528.163546883333
2019-10-12 20:48:00,3528.352379666666
2019-10-12 20:49:00,3528.5403573833332
2019-10-12 20:50:00,3528.7274972833325
2019-10-12 20:51:00,3528.913816566668
2019-10-12 20:52:00,3529.099332933334
2019-10-12 20:53:00,3529.2840630500004
2019-10-12 20:54:00,3529.4680240999996
2019-10-12 20:55:00,3529.6512330500004
2019-10-12 20:56:00,3529.8337069166673
2019-10-12 20:57:00,3530.0154620833323
2019-10-12 20:58:00,3530.1965155500015
2019-10-12 20:59:00,3530.376883816666
2019-10-12 21:00:00,3530.556583583333
2019-10-12 21:01:00,3530.735631233333
2019-10-12 21:02:00,3530.9140433333328
2019-10-12 21:03:00,3531.091836383334
2019-10-12 21:04:00,3531.269026533334
2019-10-12 21:05:00,3531.4456304833343
2019-10-12 21:06:00,3531.6216643499997
2019-10-12 21:07:00,3531.7971443
2019-10-12 21:08:00,3531.9720870999986
2019-10-12 21:09:00,3532.1465085500004
