,start,end,energy(J)
383,2017-12-25 18:05:17,2017-12-25 18:36:56,1211448.7462602577
384,2017-12-25 20:43:28,2017-12-25 21:41:10,6109650.279113381
385,2017-12-26 09:57:35,2017-12-26 10:09:53,1133072.510026472
386,2017-12-26 10:47:15,2017-12-26 14:06:22,13631695.074714534
387,2017-12-26 19:22:03,2017-12-26 20:08:55,2502925.7383337743
388,2017-12-26 21:17:24,2017-12-26 21:58:01,3360106.4596297904
389,2017-12-27 06:14:54,2017-12-27 06:29:45,1810949.5282522165
390,2017-12-27 07:22:25,2017-12-27 07:36:47,1621550.5277446802
391,2017-12-27 09:13:23,2017-12-27 09:22:13,842903.2070850533
392,2017-12-27 13:46:14,2017-12-27 14:20:04,1546638.8323870269
393,2017-12-27 15:23:53,2017-12-27 16:42:15,7535511.991211439
394,2017-12-27 17:57:06,2017-12-27 21:30:11,15913610.15175255
395,2017-12-28 07:29:14,2017-12-28 07:44:33,1624403.0127487376
396,2017-12-28 09:04:27,2017-12-28 11:24:33,12246658.95870304
397,2017-12-28 12:25:47,2017-12-28 14:14:39,14249981.98125962
398,2017-12-28 15:02:28,2017-12-28 16:22:37,4391461.244578055
399,2017-12-28 19:49:28,2017-12-28 20:11:34,1855131.7501009926
400,2017-12-29 05:56:29,2017-12-29 06:07:51,1975923.8809363414
401,2017-12-29 11:22:50,2017-12-29 11:31:38,378891.36734524916
402,2017-12-29 18:38:28,2017-12-29 19:00:00,3024393.0169754634
403,2017-12-29 20:10:56,2017-12-29 20:34:21,2563474.702164976
404,2017-12-30 06:46:51,2017-12-30 06:59:13,1900579.5845510992
405,2017-12-30 08:16:30,2017-12-30 09:03:36,2586629.6133662057
406,2017-12-30 10:03:16,2017-12-30 10:17:47,1628780.923017501
407,2017-12-30 11:16:34,2017-12-30 11:52:41,4368280.4609981235
408,2017-12-30 13:08:14,2017-12-30 13:34:13,3867905.503124654
409,2017-12-30 14:27:41,2017-12-30 15:27:54,3449698.7217619806
410,2017-12-30 17:23:09,2017-12-30 17:42:15,2000915.8544926466
411,2017-12-30 19:04:34,2017-12-30 19:14:58,902054.4115709167
412,2017-12-30 23:31:05,2017-12-30 23:40:47,893002.3623761404
413,2017-12-31 06:50:09,2017-12-31 07:01:23,1872258.5220207816
414,2017-12-31 08:21:21,2017-12-31 08:50:19,2189046.164204272
415,2017-12-31 11:07:45,2017-12-31 11:18:50,1335987.3934989818
416,2017-12-31 11:49:11,2017-12-31 12:01:56,1253130.3152779038
417,2017-12-31 13:21:26,2017-12-31 14:11:59,2743749.649411124
418,2017-12-31 16:41:15,2017-12-31 18:11:51,8868929.432051357
