timestamps,S1_PID_1F_TimeSinceEngStart
2019-09-27 17:20:00.029350042+01:00,167
2019-09-27 17:20:00.229099989+01:00,167
2019-09-27 17:20:00.429100037+01:00,167
2019-09-27 17:20:00.629650116+01:00,168
2019-09-27 17:20:00.829400063+01:00,168
2019-09-27 17:20:01.030149937+01:00,168
2019-09-27 17:20:01.229350090+01:00,168
2019-09-27 17:20:01.429399967+01:00,168
2019-09-27 17:20:01.629600048+01:00,169
2019-09-27 17:20:01.829299927+01:00,169
2019-09-27 17:20:02.029350042+01:00,169
2019-09-27 17:20:02.229700089+01:00,169
2019-09-27 17:20:02.429450035+01:00,169
2019-09-27 17:20:02.629750013+01:00,169
2019-09-27 17:20:02.829400063+01:00,170
2019-09-27 17:20:03.029449940+01:00,170
2019-09-27 17:20:03.230050087+01:00,170
2019-09-27 17:20:03.429549932+01:00,170
2019-09-27 17:20:03.629600048+01:00,170
2019-09-27 17:20:03.830450058+01:00,171
2019-09-27 17:20:04.029449940+01:00,171
2019-09-27 17:20:04.229500055+01:00,171
2019-09-27 17:20:04.429300070+01:00,171
2019-09-27 17:20:04.629199982+01:00,171
2019-09-27 17:20:04.829600096+01:00,172
2019-09-27 17:20:05.029350042+01:00,172
2019-09-27 17:20:05.229500055+01:00,172
2019-09-27 17:20:05.429250002+01:00,172
2019-09-27 17:20:05.629600048+01:00,172
2019-09-27 17:20:05.829550028+01:00,173
2019-09-27 17:20:06.029400110+01:00,173
2019-09-27 17:20:06.229449987+01:00,173
2019-09-27 17:20:06.429600+01:00,173
2019-09-27 17:20:06.629600048+01:00,173
2019-09-27 17:20:06.829349995+01:00,174
2019-09-27 17:20:07.029500008+01:00,174
2019-09-27 17:20:07.229500055+01:00,174
2019-09-27 17:20:07.429549932+01:00,174
2019-09-27 17:20:07.629699945+01:00,174
2019-09-27 17:20:07.829400063+01:00,175
2019-09-27 17:20:08.030750036+01:00,175
2019-09-27 17:20:08.229599953+01:00,175
2019-09-27 17:20:08.429699898+01:00,175
2019-09-27 17:20:08.629499912+01:00,175
2019-09-27 17:20:08.829449892+01:00,176
2019-09-27 17:20:09.029500008+01:00,176
2019-09-27 17:20:09.229949951+01:00,176
2019-09-27 17:20:09.429549932+01:00,176
2019-09-27 17:20:09.629549980+01:00,176
2019-09-27 17:20:09.829799891+01:00,177
2019-09-27 17:20:10.030200005+01:00,177
2019-09-27 17:20:10.229899883+01:00,177
2019-09-27 17:20:10.431200027+01:00,177
2019-09-27 17:20:10.629699945+01:00,177
2019-09-27 17:20:10.829750061+01:00,178
2019-09-27 17:20:11.029900074+01:00,178
2019-09-27 17:20:11.230000019+01:00,178
2019-09-27 17:20:11.430099964+01:00,178
2019-09-27 17:20:11.629800081+01:00,178
2019-09-27 17:20:11.829750061+01:00,179
2019-09-27 17:20:12.030100107+01:00,179
2019-09-27 17:20:12.225349903+01:00,179
2019-09-27 17:20:12.429949999+01:00,179
2019-09-27 17:20:12.629800081+01:00,179
2019-09-27 17:20:12.829849958+01:00,180
2019-09-27 17:20:13.030400038+01:00,180
2019-09-27 17:20:13.230149984+01:00,180
2019-09-27 17:20:13.430099964+01:00,180
2019-09-27 17:20:13.629899979+01:00,180
2019-09-27 17:20:13.830250025+01:00,181
2019-09-27 17:20:14.030450106+01:00,181
2019-09-27 17:20:14.230000019+01:00,181
2019-09-27 17:20:14.430000067+01:00,181
2019-09-27 17:20:14.630049944+01:00,181
