timestamps,S1_PID_11_ThrottlePosition
2019-09-27 17:19:59.988899946+01:00,16.86288
2019-09-27 17:20:00.189100027+01:00,16.86288
2019-09-27 17:20:00.389050007+01:00,16.86288
2019-09-27 17:20:00.588999987+01:00,16.86288
2019-09-27 17:20:00.789649963+01:00,16.86288
2019-09-27 17:20:00.989399910+01:00,16.86288
2019-09-27 17:20:01.189399958+01:00,16.86288
2019-09-27 17:20:01.389349937+01:00,16.86288
2019-09-27 17:20:01.589400053+01:00,16.86288
2019-09-27 17:20:01.789099932+01:00,16.86288
2019-09-27 17:20:01.989399910+01:00,16.86288
2019-09-27 17:20:02.189349890+01:00,16.86288
2019-09-27 17:20:02.389349937+01:00,16.86288
2019-09-27 17:20:02.589299917+01:00,16.86288
2019-09-27 17:20:02.789350033+01:00,16.86288
2019-09-27 17:20:02.989049911+01:00,16.86288
2019-09-27 17:20:03.189100027+01:00,16.86288
2019-09-27 17:20:03.389149904+01:00,16.86288
2019-09-27 17:20:03.589149952+01:00,16.86288
2019-09-27 17:20:03.789150+01:00,16.86288
2019-09-27 17:20:03.989150047+01:00,16.86288
2019-09-27 17:20:04.189199924+01:00,16.86288
2019-09-27 17:20:04.389300108+01:00,16.86288
2019-09-27 17:20:04.590049982+01:00,16.86288
2019-09-27 17:20:04.789200068+01:00,16.86288
2019-09-27 17:20:04.989300013+01:00,16.86288
2019-09-27 17:20:05.189249992+01:00,16.86288
2019-09-27 17:20:05.389300108+01:00,16.86288
2019-09-27 17:20:05.589299917+01:00,16.86288
2019-09-27 17:20:05.789350033+01:00,16.86288
2019-09-27 17:20:05.984999895+01:00,16.86288
2019-09-27 17:20:06.185300112+01:00,16.86288
2019-09-27 17:20:06.389349937+01:00,16.86288
2019-09-27 17:20:06.589449883+01:00,16.86288
2019-09-27 17:20:06.790549994+01:00,16.86288
2019-09-27 17:20:06.989350080+01:00,16.86288
2019-09-27 17:20:07.189500093+01:00,16.86288
2019-09-27 17:20:07.385400057+01:00,16.86288
2019-09-27 17:20:07.589699984+01:00,16.86288
2019-09-27 17:20:07.789449930+01:00,16.86288
2019-09-27 17:20:07.989399910+01:00,16.86288
2019-09-27 17:20:08.189450026+01:00,16.86288
2019-09-27 17:20:08.389450073+01:00,16.86288
2019-09-27 17:20:08.589550018+01:00,16.86288
2019-09-27 17:20:08.789499998+01:00,16.86288
2019-09-27 17:20:08.989599943+01:00,16.86288
2019-09-27 17:20:09.189549923+01:00,16.86288
2019-09-27 17:20:09.389549971+01:00,17.25504
2019-09-27 17:20:09.589550018+01:00,16.86288
2019-09-27 17:20:09.789649963+01:00,16.86288
2019-09-27 17:20:09.989550114+01:00,16.86288
2019-09-27 17:20:10.189650059+01:00,16.86288
2019-09-27 17:20:10.389600039+01:00,16.86288
2019-09-27 17:20:10.589950085+01:00,17.25504
2019-09-27 17:20:10.789900064+01:00,17.25504
2019-09-27 17:20:10.989700079+01:00,17.25504
2019-09-27 17:20:11.189749956+01:00,17.25504
2019-09-27 17:20:11.389750004+01:00,17.25504
2019-09-27 17:20:11.589950085+01:00,17.25504
2019-09-27 17:20:11.789750099+01:00,17.25504
2019-09-27 17:20:11.989700079+01:00,17.25504
2019-09-27 17:20:12.189749956+01:00,17.25504
2019-09-27 17:20:12.389849901+01:00,17.25504
2019-09-27 17:20:12.589750051+01:00,17.25504
2019-09-27 17:20:12.789750099+01:00,17.25504
2019-09-27 17:20:12.989949942+01:00,17.25504
2019-09-27 17:20:13.189800024+01:00,17.25504
2019-09-27 17:20:13.389800072+01:00,17.25504
2019-09-27 17:20:13.589799881+01:00,17.25504
2019-09-27 17:20:13.789999962+01:00,17.25504
2019-09-27 17:20:13.989850044+01:00,17.25504
2019-09-27 17:20:14.189899921+01:00,17.25504
2019-09-27 17:20:14.389950037+01:00,17.25504
2019-09-27 17:20:14.590150118+01:00,17.25504
2019-09-27 17:20:14.789900064+01:00,17.25504
2019-09-27 17:20:14.990000010+01:00,17.25504
2019-09-27 17:20:15.189949989+01:00,17.25504
2019-09-27 17:20:15.386149883+01:00,17.25504
2019-09-27 17:20:15.591150045+01:00,17.25504
2019-09-27 17:20:15.790149927+01:00,17.25504
2019-09-27 17:20:15.990050077+01:00,17.25504
2019-09-27 17:20:16.186150074+01:00,17.25504
2019-09-27 17:20:16.390150070+01:00,17.25504
2019-09-27 17:20:16.590049982+01:00,17.25504
2019-09-27 17:20:16.790050030+01:00,17.25504
2019-09-27 17:20:16.990149975+01:00,17.25504
2019-09-27 17:20:17.190200090+01:00,17.25504
2019-09-27 17:20:17.390300035+01:00,17.25504
2019-09-27 17:20:17.590250015+01:00,17.25504
2019-09-27 17:20:17.790199995+01:00,17.25504
2019-09-27 17:20:17.990350008+01:00,17.25504
2019-09-27 17:20:18.190150023+01:00,17.25504
2019-09-27 17:20:18.390150070+01:00,17.25504
2019-09-27 17:20:18.590250015+01:00,17.6472
2019-09-27 17:20:18.790149927+01:00,17.25504
2019-09-27 17:20:18.990250111+01:00,16.47072
2019-09-27 17:20:19.190200090+01:00,16.07856
2019-09-27 17:20:19.390249968+01:00,15.29424
2019-09-27 17:20:19.590199947+01:00,14.90208
2019-09-27 17:20:19.790199995+01:00,12.54912
2019-09-27 17:20:19.990250111+01:00,13.33344
2019-09-27 17:20:20.190299988+01:00,13.33344
2019-09-27 17:20:20.390300035+01:00,13.33344
2019-09-27 17:20:20.590300083+01:00,12.94128
2019-09-27 17:20:20.790349960+01:00,13.7256
2019-09-27 17:20:20.990400076+01:00,15.29424
2019-09-27 17:20:21.190449953+01:00,14.90208
2019-09-27 17:20:21.390450001+01:00,14.11776
2019-09-27 17:20:21.590450048+01:00,13.7256
2019-09-27 17:20:21.790349960+01:00,13.7256
2019-09-27 17:20:21.990400076+01:00,14.11776
2019-09-27 17:20:22.190399885+01:00,14.11776
2019-09-27 17:20:22.390399933+01:00,14.509920000000001
2019-09-27 17:20:22.590399981+01:00,14.11776
