timestamps,S1_PID_05_EngineCoolantTemp
2019-09-27 17:20:00.069200039+01:00,49.0
2019-09-27 17:20:01.069400072+01:00,49.0
2019-09-27 17:20:02.069350004+01:00,49.0
2019-09-27 17:20:03.069449902+01:00,49.0
2019-09-27 17:20:04.069200039+01:00,49.0
2019-09-27 17:20:05.069350004+01:00,49.0
2019-09-27 17:20:06.069499969+01:00,49.0
2019-09-27 17:20:07.069499969+01:00,49.0
2019-09-27 17:20:08.069449902+01:00,49.0
2019-09-27 17:20:09.069750071+01:00,49.0
2019-09-27 17:20:10.069649935+01:00,49.0
2019-09-27 17:20:11.070100069+01:00,49.0
2019-09-27 17:20:12.069799900+01:00,49.0
2019-09-27 17:20:13.071000099+01:00,49.0
2019-09-27 17:20:14.069950104+01:00,49.0
2019-09-27 17:20:15.070699930+01:00,49.0
2019-09-27 17:20:16.069999933+01:00,49.0
2019-09-27 17:20:17.070349932+01:00,49.0
2019-09-27 17:20:18.071300030+01:00,49.0
2019-09-27 17:20:19.070199966+01:00,49.0
2019-09-27 17:20:20.070600033+01:00,49.0
2019-09-27 17:20:21.070549965+01:00,49.0
2019-09-27 17:20:22.070549965+01:00,49.0
2019-09-27 17:20:23.070450068+01:00,49.0
2019-09-27 17:20:24.070549965+01:00,49.0
2019-09-27 17:20:25.070600033+01:00,49.0
2019-09-27 17:20:26.070699930+01:00,49.0
2019-09-27 17:20:27.070749998+01:00,49.0
2019-09-27 17:20:28.070849895+01:00,49.0
2019-09-27 17:20:29.070899963+01:00,49.0
2019-09-27 17:20:51.072499990+01:00,51.0
2019-09-27 17:20:52.072449923+01:00,51.0
2019-09-27 17:20:53.072550058+01:00,51.0
2019-09-27 17:20:54.072700024+01:00,51.0
2019-09-27 17:20:55.072949886+01:00,51.0
2019-09-27 17:20:56.072700024+01:00,51.0
2019-09-27 17:20:57.073100090+01:00,51.0
2019-09-27 17:20:58.072900057+01:00,51.0
2019-09-27 17:20:59.073050022+01:00,52.0
2019-09-27 17:21:00.073149920+01:00,52.0
2019-09-27 17:21:01.073149920+01:00,52.0
2019-09-27 17:21:02.073149920+01:00,52.0
2019-09-27 17:21:03.074350119+01:00,52.0
2019-09-27 17:21:04.073250055+01:00,52.0
2019-09-27 17:21:05.073450089+01:00,53.0
2019-09-27 17:21:06.073649883+01:00,53.0
2019-09-27 17:21:07.073849916+01:00,53.0
2019-09-27 17:21:08.069299936+01:00,53.0
2019-09-27 17:21:09.073649883+01:00,53.0
2019-09-27 17:21:10.073699951+01:00,53.0
2019-09-27 17:21:11.073849916+01:00,53.0
2019-09-27 17:21:12.073800087+01:00,54.0
2019-09-27 17:21:13.074049950+01:00,54.0
2019-09-27 17:21:14.073950052+01:00,54.0
2019-09-27 17:21:15.074049950+01:00,54.0
2019-09-27 17:21:16.074100018+01:00,54.0
2019-09-27 17:21:17.070349932+01:00,54.0
2019-09-27 17:21:18.074249983+01:00,55.0
2019-09-27 17:21:19.074300051+01:00,55.0
2019-09-27 17:21:20.074399948+01:00,56.0
2019-09-27 17:21:21.074599981+01:00,56.0
2019-09-27 17:21:22.074599981+01:00,56.0
2019-09-27 17:21:23.074700117+01:00,57.0
2019-09-27 17:21:24.074650049+01:00,58.0
2019-09-27 17:21:25.074749947+01:00,58.0
2019-09-27 17:21:26.074800014+01:00,58.0
2019-09-27 17:21:27.074850082+01:00,59.0
2019-09-27 17:21:28.075050116+01:00,59.0
2019-09-27 17:21:29.075000048+01:00,59.0
2019-09-27 17:21:30.075050116+01:00,60.0
2019-09-27 17:21:31.075249910+01:00,61.0
2019-09-27 17:21:32.075200081+01:00,61.0
2019-09-27 17:21:33.075299978+01:00,61.0
2019-09-27 17:21:34.075350046+01:00,61.0
2019-09-27 17:21:35.075400114+01:00,62.0
2019-09-27 17:21:36.076299906+01:00,62.0
2019-09-27 17:21:37.075550079+01:00,62.0
2019-09-27 17:21:38.076349974+01:00,63.0
2019-09-27 17:21:39.075700045+01:00,63.0
2019-09-27 17:21:40.075799942+01:00,63.0
2019-09-27 17:21:41.075900078+01:00,63.0
2019-09-27 17:21:42.075900078+01:00,63.0
2019-09-27 17:21:43.076349974+01:00,63.0
2019-09-27 17:21:44.076100111+01:00,63.0
2019-09-27 17:21:45.076200008+01:00,63.0
2019-09-27 17:21:46.076299906+01:00,63.0
2019-09-27 17:21:47.076400042+01:00,63.0
2019-09-27 17:21:48.076900005+01:00,63.0
2019-09-27 17:21:49.076400042+01:00,63.0
2019-09-27 17:21:50.076849937+01:00,63.0
2019-09-27 17:22:09.077899933+01:00,63.0
2019-09-27 17:22:10.078099966+01:00,63.0
2019-09-27 17:22:11.078000069+01:00,63.0
2019-09-27 17:22:12.078049898+01:00,64.0
2019-09-27 17:22:13.078150034+01:00,64.0
2019-09-27 17:22:14.078299999+01:00,64.0
2019-09-27 17:22:15.078299999+01:00,64.0
2019-09-27 17:22:16.078249931+01:00,64.0
2019-09-27 17:22:17.078500032+01:00,64.0
2019-09-27 17:22:18.078350067+01:00,64.0
2019-09-27 17:22:19.078500032+01:00,65.0
2019-09-27 17:22:20.078500032+01:00,65.0
2019-09-27 17:22:21.078649998+01:00,66.0
2019-09-27 17:22:22.078649998+01:00,66.0
2019-09-27 17:22:23.078749895+01:00,66.0
2019-09-27 17:22:24.078949928+01:00,66.0
2019-09-27 17:22:25.079050064+01:00,66.0
2019-09-27 17:22:26.078999996+01:00,66.0
2019-09-27 17:22:27.078999996+01:00,67.0
2019-09-27 17:22:28.079149961+01:00,67.0
2019-09-27 17:22:29.079400063+01:00,67.0
2019-09-27 17:22:30.079200029+01:00,68.0
2019-09-27 17:22:31.079400063+01:00,68.0
2019-09-27 17:22:32.079349995+01:00,68.0
2019-09-27 17:22:33.079400063+01:00,68.0
2019-09-27 17:22:34.079499960+01:00,68.0
2019-09-27 17:22:35.079750061+01:00,68.0
2019-09-27 17:22:36.079600096+01:00,68.0
2019-09-27 17:22:37.079699993+01:00,68.0
2019-09-27 17:22:38.080049992+01:00,68.0
2019-09-27 17:22:39.079799891+01:00,68.0
2019-09-27 17:22:40.079900026+01:00,68.0
2019-09-27 17:22:41.079999924+01:00,68.0
2019-09-27 17:22:42.079999924+01:00,68.0
2019-09-27 17:22:43.080199957+01:00,68.0
2019-09-27 17:22:44.080149889+01:00,68.0
2019-09-27 17:22:45.080250025+01:00,68.0
2019-09-27 17:22:46.080300093+01:00,68.0
2019-09-27 17:22:47.081099987+01:00,68.0
2019-09-27 17:22:48.080450058+01:00,68.0
2019-09-27 17:22:49.080549955+01:00,68.0
2019-09-27 17:22:50.080600023+01:00,68.0
2019-09-27 17:22:55.080950022+01:00,68.0
2019-09-27 17:22:56.081199884+01:00,68.0
2019-09-27 17:22:57.081199884+01:00,68.0
2019-09-27 17:22:58.081249952+01:00,68.0
2019-09-27 17:22:59.081199884+01:00,69.0
2019-09-27 17:23:00.081300020+01:00,69.0
2019-09-27 17:23:01.081449986+01:00,69.0
2019-09-27 17:23:02.081749916+01:00,69.0
2019-09-27 17:23:03.081500053+01:00,69.0
2019-09-27 17:23:04.081549883+01:00,69.0
2019-09-27 17:23:05.081799984+01:00,70.0
2019-09-27 17:23:06.081799984+01:00,70.0
2019-09-27 17:23:07.081899881+01:00,71.0
2019-09-27 17:23:08.081850052+01:00,71.0
2019-09-27 17:23:09.081899881+01:00,71.0
2019-09-27 17:23:10.083100080+01:00,71.0
2019-09-27 17:23:11.082149982+01:00,71.0
2019-09-27 17:23:12.082200050+01:00,72.0
2019-09-27 17:23:13.082200050+01:00,72.0
2019-09-27 17:23:14.082250118+01:00,73.0
2019-09-27 17:23:15.082600117+01:00,73.0
2019-09-27 17:23:16.082400084+01:00,73.0
2019-09-27 17:23:17.082550049+01:00,73.0
2019-09-27 17:23:18.082649946+01:00,73.0
2019-09-27 17:23:19.082600117+01:00,74.0
