timestamps,response,length,service
2019-09-27 17:20:04.389300108+01:00,4,3,1
2019-09-27 17:20:04.429300070+01:00,4,4,1
2019-09-27 17:20:04.505199909+01:00,4,3,1
2019-09-27 17:20:04.529400110+01:00,4,4,1
2019-09-27 17:20:04.549550056+01:00,4,3,1
2019-09-27 17:20:04.590049982+01:00,4,3,1
2019-09-27 17:20:04.629199982+01:00,4,4,1
2019-09-27 17:20:04.709399939+01:00,4,3,1
2019-09-27 17:20:04.725199938+01:00,4,4,1
2019-09-27 17:20:04.749350071+01:00,4,3,1
2019-09-27 17:20:04.789200068+01:00,4,3,1
2019-09-27 17:20:04.829600096+01:00,4,4,1
2019-09-27 17:20:04.909499884+01:00,4,3,1
2019-09-27 17:20:04.929549932+01:00,4,4,1
2019-09-27 17:20:04.949300051+01:00,4,3,1
2019-09-27 17:20:04.989300013+01:00,4,3,1
2019-09-27 17:20:05.029350042+01:00,4,4,1
2019-09-27 17:20:05.069350004+01:00,4,3,1
2019-09-27 17:20:05.109250069+01:00,4,3,1
2019-09-27 17:20:05.130199909+01:00,4,4,1
2019-09-27 17:20:05.149349928+01:00,4,3,1
2019-09-27 17:20:05.189249992+01:00,4,3,1
2019-09-27 17:20:05.229500055+01:00,4,4,1
2019-09-27 17:20:05.309499979+01:00,4,3,1
2019-09-27 17:20:05.329600096+01:00,4,4,1
2019-09-27 17:20:05.349499941+01:00,4,3,1
2019-09-27 17:20:05.389300108+01:00,4,3,1
2019-09-27 17:20:05.429250002+01:00,4,4,1
2019-09-27 17:20:05.509299994+01:00,4,3,1
2019-09-27 17:20:05.529350042+01:00,4,4,1
2019-09-27 17:20:05.550100088+01:00,4,3,1
2019-09-27 17:20:05.589299917+01:00,4,3,1
2019-09-27 17:20:05.629600048+01:00,4,4,1
2019-09-27 17:20:05.709300041+01:00,4,3,1
2019-09-27 17:20:05.729549885+01:00,4,4,1
2019-09-27 17:20:05.749550104+01:00,4,3,1
2019-09-27 17:20:05.789350033+01:00,4,3,1
2019-09-27 17:20:05.829550028+01:00,4,4,1
2019-09-27 17:20:05.909349918+01:00,4,3,1
2019-09-27 17:20:05.930399895+01:00,4,4,1
2019-09-27 17:20:05.949549913+01:00,4,3,1
2019-09-27 17:20:05.984999895+01:00,4,3,1
2019-09-27 17:20:06.029400110+01:00,4,4,1
2019-09-27 17:20:06.069499969+01:00,4,3,1
2019-09-27 17:20:06.109400034+01:00,4,3,1
2019-09-27 17:20:06.129600048+01:00,4,4,1
2019-09-27 17:20:06.149300098+01:00,4,3,1
2019-09-27 17:20:06.185300112+01:00,4,3,1
2019-09-27 17:20:06.229449987+01:00,4,4,1
2019-09-27 17:20:06.309400082+01:00,4,3,1
2019-09-27 17:20:06.329550028+01:00,4,4,1
2019-09-27 17:20:06.349349976+01:00,4,3,1
2019-09-27 17:20:06.389349937+01:00,4,3,1
2019-09-27 17:20:06.429600+01:00,4,4,1
2019-09-27 17:20:06.509449959+01:00,4,3,1
2019-09-27 17:20:06.529400110+01:00,4,4,1
2019-09-27 17:20:06.549449921+01:00,4,3,1
2019-09-27 17:20:06.589449883+01:00,4,3,1
2019-09-27 17:20:06.629600048+01:00,4,4,1
2019-09-27 17:20:06.705300093+01:00,4,3,1
2019-09-27 17:20:06.729500055+01:00,4,4,1
2019-09-27 17:20:06.749350071+01:00,4,3,1
2019-09-27 17:20:06.790549994+01:00,4,3,1
2019-09-27 17:20:06.829349995+01:00,4,4,1
2019-09-27 17:20:06.909650087+01:00,4,3,1
2019-09-27 17:20:06.929850101+01:00,4,4,1
2019-09-27 17:20:06.949500084+01:00,4,3,1
2019-09-27 17:20:06.989350080+01:00,4,3,1
2019-09-27 17:20:07.029500008+01:00,4,4,1
2019-09-27 17:20:07.069499969+01:00,4,3,1
2019-09-27 17:20:07.109400034+01:00,4,3,1
2019-09-27 17:20:07.130599976+01:00,4,4,1
2019-09-27 17:20:07.149499893+01:00,4,3,1
2019-09-27 17:20:07.189500093+01:00,4,3,1
2019-09-27 17:20:07.229500055+01:00,4,4,1
2019-09-27 17:20:07.309449911+01:00,4,3,1
2019-09-27 17:20:07.329699993+01:00,4,4,1
2019-09-27 17:20:07.349649906+01:00,4,3,1
2019-09-27 17:20:07.385400057+01:00,4,3,1
2019-09-27 17:20:07.429549932+01:00,4,4,1
2019-09-27 17:20:07.509399891+01:00,4,3,1
2019-09-27 17:20:07.529500007+01:00,4,4,1
2019-09-27 17:20:07.549599886+01:00,4,3,1
2019-09-27 17:20:07.589699984+01:00,4,3,1
2019-09-27 17:20:07.629699945+01:00,4,4,1
