timestamp,cycle_sec,timestep,speed_mph,accel_meters_ps
2012-04-08 08:19:24,89,1,47.421875,0.154910714286
2012-04-08 08:19:25,90,1,47.6916666667,0.269791666667
2012-04-08 08:19:26,91,1,47.9938244048,0.302157738095
2012-04-08 08:19:27,92,1,48.2497767857,0.255952380952
2012-04-08 08:19:28,93,1,48.3876488095,0.137872023809
2012-04-08 08:19:29,94,1,48.3352678571,-0.0523809523809
2012-04-08 08:19:30,95,1,48.0313988095,-0.303869047619
2012-04-08 08:19:31,96,1,47.4521577381,-0.579241071429
2012-04-08 08:19:32,97,1,46.6217261905,-0.830431547619
2012-04-08 08:19:33,98,1,45.5977678571,-1.02395833333
2012-04-08 08:19:34,99,1,44.4521577381,-1.14561011905
2012-04-08 08:19:35,100,1,43.2566220238,-1.19553571429
2012-04-08 08:19:36,101,1,42.0720238095,-1.18459821429
2012-04-08 08:19:37,102,1,40.9495535714,-1.1224702381
2012-04-08 08:19:38,103,1,39.9421875,-1.00736607143
2012-04-08 08:19:39,104,1,39.1081845238,-0.834002976191
2012-04-08 08:19:40,105,1,38.4960565476,-0.612127976191
2012-04-08 08:19:41,106,1,38.119047619,-0.377008928571
2012-04-08 08:19:42,107,1,37.9465029762,-0.172544642857
2012-04-08 08:19:43,108,1,37.9258184524,-0.0206845238096
2012-04-08 08:19:44,109,1,38.0008928571,0.0750744047619
2012-04-08 08:19:45,110,1,38.0993303571,0.0984375000001
2012-04-08 08:19:46,111,1,38.1052083333,0.0058779761904
2012-04-08 08:19:47,112,1,37.846577381,-0.258630952381
2012-04-08 08:19:48,113,1,37.1321428571,-0.714434523809
2012-04-08 08:19:49,114,1,35.8139880952,-1.3181547619
2012-04-08 08:19:50,115,1,33.7789434524,-2.03504464286
2012-04-08 08:19:51,116,1,30.886235119,-2.89270833333
2012-04-08 08:19:52,117,1,26.9901785714,-3.89605654762
2012-04-08 08:19:53,118,1,22.1020089286,-4.88816964286
2012-04-08 08:19:54,119,1,16.6394345238,-5.46257440476
2012-04-08 08:19:55,120,1,11.5625744048,-5.07686011905
2012-04-08 08:19:56,121,1,8.10349702381,-3.45907738095
2012-04-08 08:19:57,122,1,7.16063988095,-0.942857142857
2012-04-08 08:19:58,123,1,8.83660714286,1.6759672619
2012-04-08 08:19:59,124,1,12.4526785714,3.61607142857
2012-04-08 08:20:00,125,1,16.9865327381,4.53385416667
2012-04-08 08:20:01,126,1,21.6019345238,4.61540178571
2012-04-08 08:20:02,127,1,25.8796875,4.27775297619
2012-04-08 08:20:03,128,1,29.6832589286,3.80357142857
2012-04-08 08:20:04,129,1,32.9534970238,3.27023809524
2012-04-08 08:20:05,130,1,35.6501488095,2.69665178571
2012-04-08 08:20:06,131,1,37.787797619,2.13764880952
2012-04-08 08:20:07,132,1,39.4520089286,1.66421130952
2012-04-08 08:20:08,133,1,40.7662202381,1.31421130952
2012-04-08 08:20:09,134,1,41.8378720238,1.07165178571
2012-04-08 08:20:10,135,1,42.7294642857,0.891592261905
2012-04-08 08:20:11,136,1,43.4766369048,0.747172619048
2012-04-08 08:20:12,137,1,44.1197172619,0.643080357143
2012-04-08 08:20:13,138,1,44.7088541667,0.589136904762
2012-04-08 08:20:14,139,1,45.2826636905,0.57380952381
2012-04-08 08:20:15,140,1,45.8306547619,0.547991071429
2012-04-08 08:20:16,141,1,46.2639136905,0.433258928571
2012-04-08 08:20:17,142,1,46.4372767857,0.173363095238
2012-04-08 08:20:18,143,1,46.2203869048,-0.216889880952
2012-04-08 08:20:19,144,1,45.5709821429,-0.649404761905
2012-04-08 08:20:20,145,1,44.5760416667,-0.99494047619
2012-04-08 08:20:21,146,1,43.4350446429,-1.14099702381
2012-04-08 08:20:22,147,1,42.3821428571,-1.05290178571
2012-04-08 08:20:23,148,1,41.5963541667,-0.785788690476
2012-04-08 08:20:24,149,1,41.1514136905,-0.444940476191
2012-04-08 08:20:25,150,1,41.0147321429,-0.136681547619
2012-04-08 08:20:26,151,1,41.0858630952,0.071130952381
2012-04-08 08:20:27,152,1,41.2563988095,0.170535714286
2012-04-08 08:20:28,153,1,41.4607886905,0.204389880952
2012-04-08 08:20:29,154,1,41.6930059524,0.232217261905
2012-04-08 08:20:30,155,1,41.9839285714,0.290922619048
2012-04-08 08:20:31,156,1,42.359375,0.375446428571
2012-04-08 08:20:32,157,1,42.8101934524,0.450818452381
2012-04-08 08:20:33,158,1,43.2911458333,0.480952380952
2012-04-08 08:20:34,159,1,43.7447172619,0.453571428572
2012-04-08 08:20:35,160,1,44.1252232143,0.380505952381
2012-04-08 08:20:36,161,1,44.4016369048,0.276413690476
2012-04-08 08:20:37,162,1,44.5564732143,0.154836309524
2012-04-08 08:20:38,163,1,44.5972470238,0.0407738095238
2012-04-08 08:20:39,164,1,44.5517113095,-0.0455357142857
2012-04-08 08:20:40,165,1,44.4222470238,-0.129464285714
2012-04-08 08:20:41,166,1,44.1271577381,-0.295089285714
2012-04-08 08:20:42,167,1,43.4841517857,-0.643005952381
2012-04-08 08:20:43,168,1,42.260639881,-1.22351190476
2012-04-08 08:20:44,169,1,40.2573660714,-2.00327380952
2012-04-08 08:20:45,170,1,37.3900297619,-2.86733630952
2012-04-08 08:20:46,171,1,33.7828125,-3.6072172619
2012-04-08 08:20:47,172,1,29.8526041667,-3.93020833333
2012-04-08 08:20:48,173,1,26.2662946429,-3.58630952381
2012-04-08 08:20:49,174,1,23.7130952381,-2.55319940476
2012-04-08 08:20:50,175,1,22.618452381,-1.09464285714
2012-04-08 08:20:51,176,1,22.9895089286,0.371056547619
2012-04-08 08:20:52,177,1,24.4900297619,1.50052083333
2012-04-08 08:20:53,178,1,26.6740327381,2.18400297619
2012-04-08 08:20:54,179,1,29.1726190476,2.49858630952
2012-04-08 08:20:55,180,1,31.7183779762,2.54575892857
2012-04-08 08:20:56,181,1,34.0979910714,2.37961309524
