timestamps,WheelBasedVehicleSpeed
2020-01-13 14:58:12.402450085+01:00,0.0
2020-01-13 14:58:12.411950111+01:00,0.0
2020-01-13 14:58:12.453350067+01:00,0.0
2020-01-13 14:58:12.466300011+01:00,0.0
2020-01-13 14:58:12.502399921+01:00,0.0
2020-01-13 14:58:12.511950016+01:00,0.0
2020-01-13 14:58:12.552999973+01:00,0.0
2020-01-13 14:58:12.566450119+01:00,0.0
2020-01-13 14:58:12.602299929+01:00,0.0
2020-01-13 14:58:12.611999989+01:00,0.0
2020-01-13 14:58:12.653150082+01:00,0.0
2020-01-13 14:58:12.666300058+01:00,0.0
2020-01-13 14:58:12.702349901+01:00,0.0
2020-01-13 14:58:12.711899996+01:00,0.0
2020-01-13 14:58:12.753799915+01:00,0.0
2020-01-13 14:58:12.765799999+01:00,0.0
2020-01-13 14:58:12.803699970+01:00,0.0
2020-01-13 14:58:12.813549995+01:00,0.0
2020-01-13 14:58:12.853149891+01:00,0.0
2020-01-13 14:58:12.866499901+01:00,0.0
2020-01-13 14:58:12.902450085+01:00,0.0
2020-01-13 14:58:12.911950111+01:00,0.0
2020-01-13 14:58:12.959749937+01:00,0.0
2020-01-13 14:58:12.965850115+01:00,0.0
2020-01-13 14:58:13.003149986+01:00,0.0
2020-01-13 14:58:13.012949944+01:00,0.0
2020-01-13 14:58:13.053450108+01:00,0.0
2020-01-13 14:58:13.065850018+01:00,0.0
2020-01-13 14:58:13.103250027+01:00,0.0
2020-01-13 14:58:13.112999916+01:00,0.0
2020-01-13 14:58:13.153150082+01:00,0.0
2020-01-13 14:58:13.165800095+01:00,0.0
2020-01-13 14:58:13.203150034+01:00,0.0
2020-01-13 14:58:13.213000059+01:00,0.0
2020-01-13 14:58:13.253099917+01:00,0.0
2020-01-13 14:58:13.265799999+01:00,0.0
2020-01-13 14:58:13.303200006+01:00,0.0
2020-01-13 14:58:13.312999964+01:00,0.0
2020-01-13 14:58:13.353800058+01:00,0.0
2020-01-13 14:58:13.365799904+01:00,0.0
2020-01-13 14:58:13.403249979+01:00,0.0
2020-01-13 14:58:13.413000107+01:00,0.0
2020-01-13 14:58:13.453150034+01:00,0.0
2020-01-13 14:58:13.465800047+01:00,0.0
2020-01-13 14:58:13.503149986+01:00,0.0
2020-01-13 14:58:13.513000011+01:00,0.0
2020-01-13 14:58:13.553750038+01:00,0.0
2020-01-13 14:58:13.567199945+01:00,0.0
2020-01-13 14:58:13.603549957+01:00,0.0
2020-01-13 14:58:13.612999916+01:00,0.0
2020-01-13 14:58:13.653650045+01:00,0.0
2020-01-13 14:58:13.666949987+01:00,0.0
2020-01-13 14:58:13.703200102+01:00,0.0
2020-01-13 14:58:13.713000059+01:00,0.0
2020-01-13 14:58:13.753499985+01:00,0.0
2020-01-13 14:58:13.766949892+01:00,0.0
2020-01-13 14:58:13.804349899+01:00,0.0
2020-01-13 14:58:13.814249992+01:00,0.0
2020-01-13 14:58:13.853100061+01:00,0.0
2020-01-13 14:58:13.867599964+01:00,0.0
2020-01-13 14:58:13.903350115+01:00,0.0
2020-01-13 14:58:13.913399935+01:00,0.0
2020-01-13 14:58:13.959700108+01:00,0.0
2020-01-13 14:58:13.965899944+01:00,0.0
2020-01-13 14:58:14.003299952+01:00,0.0
2020-01-13 14:58:14.013050079+01:00,0.0
2020-01-13 14:58:14.053299904+01:00,0.0
2020-01-13 14:58:14.065900086+01:00,0.0
