timestamps,EngineSpeed
2020-01-13 14:58:13.395050049+01:00,0.0
2020-01-13 14:58:13.404500008+01:00,0.0
2020-01-13 14:58:13.414400101+01:00,0.0
2020-01-13 14:58:13.422950029+01:00,0.0
2020-01-13 14:58:13.424400091+01:00,0.0
2020-01-13 14:58:13.434499979+01:00,0.0
2020-01-13 14:58:13.444449902+01:00,0.0
2020-01-13 14:58:13.454400063+01:00,0.0
2020-01-13 14:58:13.464649916+01:00,0.0
2020-01-13 14:58:13.474499941+01:00,0.0
2020-01-13 14:58:13.484349966+01:00,0.0
2020-01-13 14:58:13.495049953+01:00,0.0
2020-01-13 14:58:13.504499912+01:00,0.0
2020-01-13 14:58:13.514450073+01:00,0.0
2020-01-13 14:58:13.523000001+01:00,0.0
2020-01-13 14:58:13.524399996+01:00,0.0
2020-01-13 14:58:13.534499884+01:00,0.0
2020-01-13 14:58:13.544450045+01:00,0.0
2020-01-13 14:58:13.554549932+01:00,0.0
2020-01-13 14:58:13.564899921+01:00,0.0
2020-01-13 14:58:13.574450016+01:00,0.0
2020-01-13 14:58:13.584350109+01:00,0.0
2020-01-13 14:58:13.594850063+01:00,0.0
2020-01-13 14:58:13.604700089+01:00,0.0
2020-01-13 14:58:13.614399910+01:00,0.0
2020-01-13 14:58:13.622999907+01:00,0.0
2020-01-13 14:58:13.624399900+01:00,0.0
2020-01-13 14:58:13.634500027+01:00,0.0
2020-01-13 14:58:13.644449949+01:00,0.0
2020-01-13 14:58:13.654500008+01:00,0.0
2020-01-13 14:58:13.664649963+01:00,0.0
2020-01-13 14:58:13.674449921+01:00,0.0
2020-01-13 14:58:13.684350014+01:00,0.0
2020-01-13 14:58:13.695050001+01:00,0.0
2020-01-13 14:58:13.704950094+01:00,0.0
2020-01-13 14:58:13.714400053+01:00,0.0
2020-01-13 14:58:13.723000050+01:00,0.0
2020-01-13 14:58:13.724349976+01:00,0.0
2020-01-13 14:58:13.734499931+01:00,0.0
2020-01-13 14:58:13.744400024+01:00,0.0
2020-01-13 14:58:13.754499912+01:00,0.0
2020-01-13 14:58:13.764650106+01:00,0.0
2020-01-13 14:58:13.774450064+01:00,0.0
2020-01-13 14:58:13.784349918+01:00,0.0
2020-01-13 14:58:13.795650005+01:00,0.0
2020-01-13 14:58:13.805500031+01:00,0.0
2020-01-13 14:58:13.815949917+01:00,0.0
2020-01-13 14:58:13.823600054+01:00,0.0
2020-01-13 14:58:13.824850082+01:00,0.0
2020-01-13 14:58:13.834899902+01:00,0.0
2020-01-13 14:58:13.844799995+01:00,0.0
2020-01-13 14:58:13.854599953+01:00,0.0
2020-01-13 14:58:13.865250111+01:00,0.0
2020-01-13 14:58:13.874550104+01:00,0.0
2020-01-13 14:58:13.884399891+01:00,0.0
2020-01-13 14:58:13.895100117+01:00,0.0
2020-01-13 14:58:13.905050039+01:00,0.0
2020-01-13 14:58:13.914499998+01:00,0.0
2020-01-13 14:58:13.923049927+01:00,0.0
2020-01-13 14:58:13.924499989+01:00,0.0
2020-01-13 14:58:13.934900045+01:00,0.0
2020-01-13 14:58:13.944600105+01:00,0.0
2020-01-13 14:58:13.955100060+01:00,0.0
2020-01-13 14:58:13.964699984+01:00,0.0
2020-01-13 14:58:13.974450111+01:00,0.0
2020-01-13 14:58:13.984349966+01:00,0.0
2020-01-13 14:58:13.995100021+01:00,0.0
2020-01-13 14:58:14.004549980+01:00,0.0
2020-01-13 14:58:14.014450073+01:00,117.5
2020-01-13 14:58:14.023050070+01:00,117.28391959934221
2020-01-13 14:58:14.024399996+01:00,117.25
2020-01-13 14:58:14.034899950+01:00,116.5
2020-01-13 14:58:14.045000076+01:00,115.25
2020-01-13 14:58:14.054450035+01:00,113.75
2020-01-13 14:58:14.064699888+01:00,112.5
2020-01-13 14:58:14.074450016+01:00,111.5
2020-01-13 14:58:14.084399939+01:00,111.625
2020-01-13 14:58:14.095099926+01:00,112.5
2020-01-13 14:58:14.104549885+01:00,113.75
2020-01-13 14:58:14.114449978+01:00,116.625
2020-01-13 14:58:14.123049974+01:00,119.65012562032109
2020-01-13 14:58:14.124399900+01:00,120.125
2020-01-13 14:58:14.134550095+01:00,121.875
2020-01-13 14:58:14.144449949+01:00,125.5
2020-01-13 14:58:14.154500008+01:00,127.0
2020-01-13 14:58:14.164750099+01:00,130.25
2020-01-13 14:58:14.174449921+01:00,131.625
2020-01-13 14:58:14.184400082+01:00,136.125
2020-01-13 14:58:14.195349932+01:00,138.75
2020-01-13 14:58:14.204649925+01:00,141.0
2020-01-13 14:58:14.214499950+01:00,144.625
2020-01-13 14:58:14.223000050+01:00,145.69283918539696
2020-01-13 14:58:14.224450111+01:00,145.875
2020-01-13 14:58:14.234549999+01:00,147.625
2020-01-13 14:58:14.244499922+01:00,148.125
2020-01-13 14:58:14.254499912+01:00,149.5
2020-01-13 14:58:14.264699936+01:00,150.75
2020-01-13 14:58:14.274549961+01:00,152.125
2020-01-13 14:58:14.284399986+01:00,153.0
2020-01-13 14:58:14.295099974+01:00,153.5
2020-01-13 14:58:14.304949999+01:00,155.625
2020-01-13 14:58:14.314450026+01:00,155.625
2020-01-13 14:58:14.323050022+01:00,157.02249997048872
2020-01-13 14:58:14.324450016+01:00,157.25
2020-01-13 14:58:14.334549904+01:00,159.625
2020-01-13 14:58:14.344500065+01:00,163.0
2020-01-13 14:58:14.354650021+01:00,166.75
2020-01-13 14:58:14.364749908+01:00,170.75
2020-01-13 14:58:14.374500036+01:00,177.75
2020-01-13 14:58:14.384399891+01:00,183.5
2020-01-13 14:58:14.395100117+01:00,195.5
2020-01-13 14:58:14.404550076+01:00,204.125
2020-01-13 14:58:14.414449930+01:00,215.625
2020-01-13 14:58:14.423049927+01:00,224.97750005570472
2020-01-13 14:58:14.424449921+01:00,226.5
2020-01-13 14:58:14.434550047+01:00,237.0
2020-01-13 14:58:14.444499969+01:00,243.0
2020-01-13 14:58:14.454499960+01:00,248.375
2020-01-13 14:58:14.464699984+01:00,253.75
2020-01-13 14:58:14.474499941+01:00,259.625
2020-01-13 14:58:14.484450102+01:00,265.25
2020-01-13 14:58:14.495100021+01:00,275.625
2020-01-13 14:58:14.504600048+01:00,285.0
2020-01-13 14:58:14.514450073+01:00,292.0
2020-01-13 14:58:14.523099899+01:00,298.91999997299166
2020-01-13 14:58:14.524450064+01:00,300.0
2020-01-13 14:58:14.534549952+01:00,306.125
2020-01-13 14:58:14.544500113+01:00,313.25
2020-01-13 14:58:14.554549932+01:00,325.0
2020-01-13 14:58:14.564850092+01:00,332.75
2020-01-13 14:58:14.574500084+01:00,340.75
2020-01-13 14:58:14.584450006+01:00,348.0
2020-01-13 14:58:14.595299959+01:00,354.75
2020-01-13 14:58:14.604650021+01:00,365.75
2020-01-13 14:58:14.614449978+01:00,378.125
2020-01-13 14:58:14.623049974+01:00,421.44589514311116
2020-01-13 14:58:14.624500036+01:00,428.75
2020-01-13 14:58:14.634599924+01:00,431.875
2020-01-13 14:58:14.644550085+01:00,434.875
2020-01-13 14:58:14.654500008+01:00,435.375
2020-01-13 14:58:14.664750099+01:00,439.0
2020-01-13 14:58:14.674550056+01:00,450.5
2020-01-13 14:58:14.684400082+01:00,462.25
2020-01-13 14:58:14.695349932+01:00,476.375
2020-01-13 14:58:14.704600096+01:00,490.5
2020-01-13 14:58:14.714499950+01:00,503.375
2020-01-13 14:58:14.723050117+01:00,514.2762501736626
2020-01-13 14:58:14.724499941+01:00,516.125
2020-01-13 14:58:14.734600067+01:00,533.875
2020-01-13 14:58:14.744549990+01:00,547.875
2020-01-13 14:58:14.754549980+01:00,562.5
2020-01-13 14:58:14.764750004+01:00,577.125
2020-01-13 14:58:14.774549961+01:00,592.625
2020-01-13 14:58:14.784499884+01:00,608.75
2020-01-13 14:58:14.795350075+01:00,622.5
2020-01-13 14:58:14.805850029+01:00,639.875
2020-01-13 14:58:14.815099955+01:00,651.875
2020-01-13 14:58:14.823450089+01:00,662.6910620449021
2020-01-13 14:58:14.824749947+01:00,664.375
2020-01-13 14:58:14.834949970+01:00,675.875
2020-01-13 14:58:14.844899893+01:00,682.125
2020-01-13 14:58:14.854899883+01:00,684.625
2020-01-13 14:58:14.865000010+01:00,685.5
2020-01-13 14:58:14.874650002+01:00,683.375
2020-01-13 14:58:14.884500027+01:00,679.625
2020-01-13 14:58:14.895349979+01:00,675.25
2020-01-13 14:58:14.904700041+01:00,671.625
2020-01-13 14:58:14.914649963+01:00,667.875
2020-01-13 14:58:14.923700094+01:00,664.4812500056753
2020-01-13 14:58:14.924649954+01:00,664.125
2020-01-13 14:58:14.934950113+01:00,661.0
2020-01-13 14:58:14.944999933+01:00,656.125
2020-01-13 14:58:14.954999924+01:00,651.25
2020-01-13 14:58:14.964849949+01:00,645.875
2020-01-13 14:58:14.974550009+01:00,641.875
2020-01-13 14:58:14.984450102+01:00,638.125
2020-01-13 14:58:14.995349884+01:00,633.875
2020-01-13 14:58:15.004699945+01:00,630.375
2020-01-13 14:58:15.014549971+01:00,625.5
2020-01-13 14:58:15.023099899+01:00,622.170226106048
2020-01-13 14:58:15.024499893+01:00,621.625
2020-01-13 14:58:15.034800053+01:00,618.5
2020-01-13 14:58:15.045000076+01:00,616.625
2020-01-13 14:58:15.054600+01:00,615.375
2020-01-13 14:58:15.064800024+01:00,614.875
2020-01-13 14:58:15.074599981+01:00,614.375
2020-01-13 14:58:15.084500074+01:00,613.5
2020-01-13 14:58:15.095350027+01:00,612.75
2020-01-13 14:58:15.104700089+01:00,612.625
2020-01-13 14:58:15.114550114+01:00,613.125
2020-01-13 14:58:15.123150110+01:00,613.7732412043545
2020-01-13 14:58:15.124500036+01:00,613.875
2020-01-13 14:58:15.134649992+01:00,614.5
2020-01-13 14:58:15.144550085+01:00,615.0
2020-01-13 14:58:15.154599905+01:00,615.0
2020-01-13 14:58:15.164849997+01:00,615.0
2020-01-13 14:58:15.174550056+01:00,615.625
2020-01-13 14:58:15.184499979+01:00,616.375
2020-01-13 14:58:15.195400+01:00,617.125
2020-01-13 14:58:15.204699993+01:00,617.625
2020-01-13 14:58:15.214550018+01:00,617.625
2020-01-13 14:58:15.223099947+01:00,617.625
2020-01-13 14:58:15.224499941+01:00,617.625
2020-01-13 14:58:15.234699965+01:00,617.5
2020-01-13 14:58:15.245049953+01:00,617.5
2020-01-13 14:58:15.254600048+01:00,617.625
2020-01-13 14:58:15.264750003+01:00,617.875
2020-01-13 14:58:15.274549961+01:00,617.875
2020-01-13 14:58:15.284499884+01:00,617.625
2020-01-13 14:58:15.295350075+01:00,617.125
2020-01-13 14:58:15.304699898+01:00,616.625
2020-01-13 14:58:15.314549923+01:00,615.875
2020-01-13 14:58:15.323100090+01:00,615.4453517556191
2020-01-13 14:58:15.324500084+01:00,615.375
2020-01-13 14:58:15.334650040+01:00,615.375
2020-01-13 14:58:15.345000029+01:00,614.875
2020-01-13 14:58:15.354850054+01:00,614.375
2020-01-13 14:58:15.364799976+01:00,613.5
2020-01-13 14:58:15.374550104+01:00,612.625
2020-01-13 14:58:15.384500027+01:00,611.875
2020-01-13 14:58:15.395400047+01:00,611.875
2020-01-13 14:58:15.404700041+01:00,611.625
2020-01-13 14:58:15.414550066+01:00,611.375
2020-01-13 14:58:15.423099995+01:00,611.0543750036235
2020-01-13 14:58:15.424550056+01:00,611.0
2020-01-13 14:58:15.434649944+01:00,610.125
2020-01-13 14:58:15.444999933+01:00,609.875
2020-01-13 14:58:15.454699993+01:00,609.125
2020-01-13 14:58:15.464849949+01:00,609.125
2020-01-13 14:58:15.474600077+01:00,609.125
2020-01-13 14:58:15.484549999+01:00,609.5
2020-01-13 14:58:15.495349884+01:00,609.5
2020-01-13 14:58:15.504750013+01:00,608.75
2020-01-13 14:58:15.514549971+01:00,608.375
2020-01-13 14:58:15.523149967+01:00,607.7299999961583
2020-01-13 14:58:15.524549960+01:00,607.625
2020-01-13 14:58:15.534650087+01:00,607.375
2020-01-13 14:58:15.544600010+01:00,607.375
2020-01-13 14:58:15.554650068+01:00,607.0
2020-01-13 14:58:15.564949989+01:00,607.0
2020-01-13 14:58:15.574599981+01:00,606.375
2020-01-13 14:58:15.584549904+01:00,605.875
2020-01-13 14:58:15.595999956+01:00,605.625
2020-01-13 14:58:15.604700089+01:00,605.5
2020-01-13 14:58:15.614599943+01:00,605.625
2020-01-13 14:58:15.623150110+01:00,605.625
2020-01-13 14:58:15.624550104+01:00,605.625
2020-01-13 14:58:15.634649992+01:00,605.875
2020-01-13 14:58:15.644999981+01:00,605.5
2020-01-13 14:58:15.654599905+01:00,604.75
2020-01-13 14:58:15.665050030+01:00,604.375
2020-01-13 14:58:15.674700022+01:00,604.625
2020-01-13 14:58:15.684499979+01:00,604.75
2020-01-13 14:58:15.695950031+01:00,605.5
2020-01-13 14:58:15.705149889+01:00,605.625
2020-01-13 14:58:15.714550018+01:00,604.75
2020-01-13 14:58:15.723150015+01:00,604.0012437905747
2020-01-13 14:58:15.724600077+01:00,603.875
2020-01-13 14:58:15.734699965+01:00,602.5
2020-01-13 14:58:15.744649887+01:00,602.375
2020-01-13 14:58:15.755049944+01:00,602.5
2020-01-13 14:58:15.765100002+01:00,602.5
2020-01-13 14:58:15.774650097+01:00,602.5
2020-01-13 14:58:15.784549952+01:00,601.875
2020-01-13 14:58:15.796000004+01:00,601.5
2020-01-13 14:58:15.805850029+01:00,600.625
2020-01-13 14:58:15.815700054+01:00,600.75
2020-01-13 14:58:15.823499918+01:00,601.0714285755406
2020-01-13 14:58:15.824800014+01:00,601.125
2020-01-13 14:58:15.834949970+01:00,601.875
2020-01-13 14:58:15.845599890+01:00,602.125
2020-01-13 14:58:15.854850054+01:00,601.875
2020-01-13 14:58:15.865149975+01:00,601.125
2020-01-13 14:58:15.874749899+01:00,600.625
2020-01-13 14:58:15.884599924+01:00,600.625
2020-01-13 14:58:15.895400047+01:00,601.5
2020-01-13 14:58:15.905299902+01:00,601.875
2020-01-13 14:58:15.914700031+01:00,601.875
2020-01-13 14:58:15.923150063+01:00,601.2412499944994
2020-01-13 14:58:15.924700022+01:00,601.125
2020-01-13 14:58:15.934799910+01:00,600.125
2020-01-13 14:58:15.945600033+01:00,599.625
2020-01-13 14:58:15.954999924+01:00,599.375
2020-01-13 14:58:15.965199947+01:00,599.875
2020-01-13 14:58:15.974600077+01:00,600.125
2020-01-13 14:58:15.984549999+01:00,600.375
2020-01-13 14:58:15.995399952+01:00,600.125
2020-01-13 14:58:16.004750013+01:00,599.375
2020-01-13 14:58:16.014600039+01:00,598.875
2020-01-13 14:58:16.023149967+01:00,598.875
2020-01-13 14:58:16.024600029+01:00,598.875
2020-01-13 14:58:16.034800053+01:00,599.375
2020-01-13 14:58:16.045599937+01:00,599.625
2020-01-13 14:58:16.054800034+01:00,599.625
2020-01-13 14:58:16.065299988+01:00,598.875
2020-01-13 14:58:16.074650049+01:00,598.125
2020-01-13 14:58:16.084549904+01:00,597.625
2020-01-13 14:58:16.095999956+01:00,597.625
2020-01-13 14:58:16.104749918+01:00,598.125
2020-01-13 14:58:16.114599943+01:00,598.125
2020-01-13 14:58:16.123199940+01:00,597.9099999987194
2020-01-13 14:58:16.124599934+01:00,597.875
2020-01-13 14:58:16.134700060+01:00,596.75
2020-01-13 14:58:16.145050049+01:00,596.125
2020-01-13 14:58:16.154750109+01:00,595.375
2020-01-13 14:58:16.165400028+01:00,595.375
2020-01-13 14:58:16.174649954+01:00,595.875
2020-01-13 14:58:16.184550047+01:00,596.125
2020-01-13 14:58:16.196000099+01:00,596.375
2020-01-13 14:58:16.205250025+01:00,596.125
2020-01-13 14:58:16.214600086+01:00,595.625
2020-01-13 14:58:16.223200083+01:00,595.4099999987194
2020-01-13 14:58:16.224600077+01:00,595.375
2020-01-13 14:58:16.234699965+01:00,595.625
2020-01-13 14:58:16.245049953+01:00,596.375
2020-01-13 14:58:16.254800081+01:00,596.625
2020-01-13 14:58:16.264849901+01:00,597.125
2020-01-13 14:58:16.274650097+01:00,597.125
2020-01-13 14:58:16.284600019+01:00,596.75
2020-01-13 14:58:16.296000004+01:00,596.625
2020-01-13 14:58:16.304749966+01:00,597.125
2020-01-13 14:58:16.314650059+01:00,597.625
2020-01-13 14:58:16.323199987+01:00,598.0546482326808
2020-01-13 14:58:16.324599981+01:00,598.125
2020-01-13 14:58:16.334800005+01:00,598.375
2020-01-13 14:58:16.345050097+01:00,598.375
2020-01-13 14:58:16.355000019+01:00,598.125
2020-01-13 14:58:16.364850044+01:00,597.875
2020-01-13 14:58:16.374650002+01:00,597.875
2020-01-13 14:58:16.384599924+01:00,598.5
2020-01-13 14:58:16.396049976+01:00,599.375
2020-01-13 14:58:16.404700041+01:00,600.125
2020-01-13 14:58:16.414649963+01:00,600.375
2020-01-13 14:58:16.423199892+01:00,600.375
2020-01-13 14:58:16.424599886+01:00,600.375
2020-01-13 14:58:16.434700012+01:00,600.375
2020-01-13 14:58:16.445050001+01:00,600.625
2020-01-13 14:58:16.454999924+01:00,601.125
2020-01-13 14:58:16.464849949+01:00,601.625
2020-01-13 14:58:16.474649906+01:00,602.125
2020-01-13 14:58:16.484600067+01:00,602.5
2020-01-13 14:58:16.495500088+01:00,602.5
2020-01-13 14:58:16.504750013+01:00,602.5
2020-01-13 14:58:16.514650106+01:00,602.375
2020-01-13 14:58:16.523200035+01:00,602.375
2020-01-13 14:58:16.524650097+01:00,602.375
2020-01-13 14:58:16.534749985+01:00,602.375
2020-01-13 14:58:16.545049906+01:00,602.375
2020-01-13 14:58:16.555000067+01:00,602.5
2020-01-13 14:58:16.565000057+01:00,602.375
2020-01-13 14:58:16.574650049+01:00,602.125
2020-01-13 14:58:16.584650040+01:00,601.875
2020-01-13 14:58:16.595449924+01:00,602.375
2020-01-13 14:58:16.605249882+01:00,602.875
2020-01-13 14:58:16.614650011+01:00,603.0
2020-01-13 14:58:16.623250008+01:00,603.5375000032014
2020-01-13 14:58:16.624650002+01:00,603.625
2020-01-13 14:58:16.634749889+01:00,603.625
2020-01-13 14:58:16.645100117+01:00,603.375
2020-01-13 14:58:16.655100107+01:00,603.375
2020-01-13 14:58:16.664900064+01:00,603.375
2020-01-13 14:58:16.674649954+01:00,603.875
2020-01-13 14:58:16.684600115+01:00,604.375
2020-01-13 14:58:16.695450068+01:00,604.625
2020-01-13 14:58:16.705250025+01:00,604.625
2020-01-13 14:58:16.714649916+01:00,604.125
2020-01-13 14:58:16.723200083+01:00,603.4837499897845
2020-01-13 14:58:16.724649906+01:00,603.375
2020-01-13 14:58:16.734750032+01:00,602.875
